episode_dir,task,chunk_id,must_go,input_timestep,input_elapsed,unix_ts,front_img,wrist_img,recap_img,returned_len,exec_index,exec_timestep,exec_action_n,in_shoulder_pan.pos,in_shoulder_lift.pos,in_elbow_flex.pos,in_wrist_flex.pos,in_wrist_roll.pos,in_gripper.pos,act_shoulder_pan.pos,act_shoulder_lift.pos,act_elbow_flex.pos,act_wrist_flex.pos,act_wrist_roll.pos,act_gripper.pos
058_brown,put the brown pouch on the tray,1,1,0,0.0,1788427073.5473561,00000_front_put_the_brown_pouch_on_the_tray.png,00000_wrist_put_the_brown_pouch_on_the_tray.png,recap.png,50,0,0,1,-4.21978021978022,-101.93406593406593,91.91208791208791,74.9010989010989,-1.2747252747252746,0.821917808219178,-3.783428192138672,-101.40774536132812,87.93672180175781,76.01866912841797,-1.1608753204345703,1.1553490161895752
058_brown,put the brown pouch on the tray,1,1,0,0.0,1788427073.5473561,00000_front_put_the_brown_pouch_on_the_tray.png,00000_wrist_put_the_brown_pouch_on_the_tray.png,recap.png,50,1,1,2,-4.21978021978022,-101.93406593406593,91.91208791208791,74.9010989010989,-1.2747252747252746,0.821917808219178,-4.2540130615234375,-100.88667297363281,87.90338134765625,76.15100860595703,-1.2759218215942383,1.0488331317901611
058_brown,put the brown pouch on the tray,1,1,0,0.0,1788427073.5473561,00000_front_put_the_brown_pouch_on_the_tray.png,00000_wrist_put_the_brown_pouch_on_the_tray.png,recap.png,50,2,2,3,-4.21978021978022,-101.93406593406593,91.91208791208791,74.9010989010989,-1.2747252747252746,0.821917808219178,-4.059270858764648,-101.40495300292969,87.93006896972656,76.12168884277344,-1.2361631393432617,1.0495468378067017
058_brown,put the brown pouch on the tray,1,1,0,0.0,1788427073.5473561,00000_front_put_the_brown_pouch_on_the_tray.png,00000_wrist_put_the_brown_pouch_on_the_tray.png,recap.png,50,3,3,4,-4.21978021978022,-101.93406593406593,91.91208791208791,74.9010989010989,-1.2747252747252746,0.821917808219178,-4.070932388305664,-100.91919708251953,87.94085693359375,76.13404846191406,-1.2263660430908203,1.0758965015411377
058_brown,put the brown pouch on the tray,1,1,0,0.0,1788427073.5473561,00000_front_put_the_brown_pouch_on_the_tray.png,00000_wrist_put_the_brown_pouch_on_the_tray.png,recap.png,50,4,4,5,-4.21978021978022,-101.93406593406593,91.91208791208791,74.9010989010989,-1.2747252747252746,0.821917808219178,-4.508899688720703,-100.65154266357422,88.25447082519531,76.3151626586914,-1.3497447967529297,1.0769459009170532
058_brown,put the brown pouch on the tray,1,1,0,0.0,1788427073.5473561,00000_front_put_the_brown_pouch_on_the_tray.png,00000_wrist_put_the_brown_pouch_on_the_tray.png,recap.png,50,5,5,6,-4.21978021978022,-101.93406593406593,91.91208791208791,74.9010989010989,-1.2747252747252746,0.821917808219178,-4.2907562255859375,-101.17181396484375,88.05494689941406,76.30418395996094,-1.2170228958129883,1.17612886428833
058_brown,put the brown pouch on the tray,1,1,0,0.0,1788427073.5473561,00000_front_put_the_brown_pouch_on_the_tray.png,00000_wrist_put_the_brown_pouch_on_the_tray.png,recap.png,50,6,6,7,-4.21978021978022,-101.93406593406593,91.91208791208791,74.9010989010989,-1.2747252747252746,0.821917808219178,-4.4463958740234375,-101.52766418457031,87.93873596191406,76.22554779052734,-1.2285480499267578,1.1525661945343018
058_brown,put the brown pouch on the tray,1,1,0,0.0,1788427073.5473561,00000_front_put_the_brown_pouch_on_the_tray.png,00000_wrist_put_the_brown_pouch_on_the_tray.png,recap.png,50,7,7,8,-4.21978021978022,-101.93406593406593,91.91208791208791,74.9010989010989,-1.2747252747252746,0.821917808219178,-4.777912139892578,-100.4622573852539,87.88229370117188,76.49207305908203,-1.2148056030273438,1.2212040424346924
058_brown,put the brown pouch on the tray,1,1,0,0.0,1788427073.5473561,00000_front_put_the_brown_pouch_on_the_tray.png,00000_wrist_put_the_brown_pouch_on_the_tray.png,recap.png,50,8,8,9,-4.21978021978022,-101.93406593406593,91.91208791208791,74.9010989010989,-1.2747252747252746,0.821917808219178,-5.622886657714844,-100.84796905517578,88.4510498046875,76.5703125,-1.2605819702148438,1.046847939491272
058_brown,put the brown pouch on the tray,1,1,0,0.0,1788427073.5473561,00000_front_put_the_brown_pouch_on_the_tray.png,00000_wrist_put_the_brown_pouch_on_the_tray.png,recap.png,50,9,9,10,-4.21978021978022,-101.93406593406593,91.91208791208791,74.9010989010989,-1.2747252747252746,0.821917808219178,-5.9172821044921875,-101.50459289550781,87.76490783691406,76.23836517333984,-1.2743215560913086,1.0058057308197021
