episode_id,object_type,episode_dir,task,num_actions,duration_s,source,shoulder_pan_major_rev,shoulder_pan_range,shoulder_pan_rev_per_step,shoulder_pan_mean_speed,shoulder_pan_peak_speed,shoulder_pan_fast_rev,shoulder_lift_major_rev,shoulder_lift_range,shoulder_lift_rev_per_step,shoulder_lift_mean_speed,shoulder_lift_peak_speed,shoulder_lift_fast_rev,elbow_flex_major_rev,elbow_flex_range,elbow_flex_rev_per_step,elbow_flex_mean_speed,elbow_flex_peak_speed,elbow_flex_fast_rev,wrist_flex_major_rev,wrist_flex_range,wrist_flex_rev_per_step,wrist_flex_mean_speed,wrist_flex_peak_speed,wrist_flex_fast_rev,total_major_rev,max_range,max_rev_per_step,oscillating_joints,n_oscillating_joints,oscillation_class,max_mean_speed,max_peak_speed,max_fast_rev,high_velocity,high_peak,review_flag,review_reason
banana__062_banana,banana,062_banana,put the banana on the tray,485,16.219,commanded,2,49.8,0.0041,0.481,17.66,5,7,129.9,0.0145,1.208,34.9,13,10,131.6,0.0207,1.099,49.31,10,6,42.0,0.0124,0.579,27.28,6,25,131.6,0.0207,elbow_flex,1,oscillation,1.208,49.31,13,False,False,False,
banana__068_banana,banana,068_banana,put the banana on the tray,418,13.749,commanded,2,43.3,0.0048,0.402,13.67,4,5,122.8,0.012,1.25,26.04,11,8,118.7,0.0192,1.167,28.99,11,4,38.6,0.0096,0.642,9.38,8,19,122.8,0.0192,,0,normal,1.25,28.99,11,False,False,False,
banana__072_banana,banana,072_banana,put the banana on the tray,527,18.663,commanded,3,56.6,0.0057,0.356,7.37,2,6,129.9,0.0114,0.953,12.88,14,7,128.6,0.0133,0.827,12.32,6,5,45.9,0.0095,0.486,11.79,5,21,129.9,0.0133,,0,normal,0.953,12.88,14,False,False,False,
banana__085_banana,banana,085_banana,put the banana on the tray,1372,48.598,commanded,1,20.0,0.0007,0.262,9.92,20,14,167.5,0.0102,1.002,83.82,41,15,161.1,0.0109,0.999,88.43,31,5,38.7,0.0036,0.542,27.18,17,35,167.5,0.0109,,0,normal,1.002,88.43,41,False,False,False,
banana__086_banana,banana,086_banana,put the banana on the tray,456,16.441,commanded,0,15.6,0.0,0.285,6.07,9,10,163.3,0.022,2.038,90.69,10,10,157.1,0.022,1.896,74.11,13,3,41.1,0.0066,0.57,24.96,12,23,163.3,0.022,shoulder_lift;elbow_flex,2,oscillation,2.038,90.69,13,False,False,False,
banana__087_banana,banana,087_banana,put the banana on the tray,400,13.99,commanded,0,14.0,0.0,0.234,4.86,5,3,165.6,0.0075,1.507,59.93,9,4,153.8,0.01,1.318,52.54,10,3,39.5,0.0075,0.471,9.5,8,10,165.6,0.01,,0,normal,1.507,59.93,10,False,False,False,
banana__088_banana,banana,088_banana,put the banana on the tray,128,4.43,commanded,0,5.4,0.0,0.219,2.95,1,0,2.3,0.0,0.282,1.08,0,0,5.7,0.0,0.296,2.74,0,0,7.5,0.0,0.232,3.93,2,0,7.5,0.0,,0,zero_movement,0.296,3.93,2,False,False,False,
banana__091_banana,banana,091_banana,put the banana on the tray,397,13.449,commanded,1,18.5,0.0025,0.29,7.5,7,9,168.7,0.0227,1.441,45.16,13,6,165.5,0.0152,1.403,44.68,12,4,49.9,0.0101,0.506,10.88,9,20,168.7,0.0227,shoulder_lift,1,oscillation,1.441,45.16,13,False,False,False,
banana__096_banana,banana,096_banana,put the banana on the tray,576,21.177,commanded,2,56.3,0.0035,0.535,22.95,9,10,158.0,0.0174,1.238,33.26,19,12,168.2,0.0209,1.214,37.83,19,3,43.9,0.0052,0.581,15.85,13,27,168.2,0.0209,elbow_flex,1,oscillation,1.238,37.83,19,False,False,False,
banana__102_banana,banana,102_banana,put the banana on the tray,833,31.121,commanded,0,15.0,0.0,0.204,4.29,8,8,164.5,0.0096,1.025,62.85,19,14,156.7,0.0168,1.1,38.91,23,3,49.9,0.0036,0.554,15.68,16,25,164.5,0.0168,,0,normal,1.1,62.85,23,False,False,False,
banana__103_banana,banana,103_banana,put the banana on the tray,968,35.598,commanded,0,10.8,0.0,0.19,6.28,8,4,165.6,0.0041,0.767,48.3,17,9,156.0,0.0093,0.902,35.17,27,3,45.8,0.0031,0.342,15.58,15,16,165.6,0.0093,,0,normal,0.902,48.3,27,False,False,False,
banana__105_banana,banana,105_banana,put the banana on the tray,426,16.531,commanded,3,45.5,0.0071,0.495,14.94,9,7,145.1,0.0165,1.374,31.33,11,7,131.5,0.0165,1.213,41.59,11,5,45.6,0.0118,0.596,17.91,6,22,145.1,0.0165,,0,normal,1.374,41.59,11,False,False,False,
banana__110_banana,banana,110_banana,put the banana on the tray,738,26.422,commanded,4,58.3,0.0054,0.555,38.47,15,18,160.1,0.0244,2.434,125.95,23,17,152.2,0.0231,2.231,104.15,20,8,59.1,0.0109,0.81,34.41,18,47,160.1,0.0244,shoulder_lift;elbow_flex,2,oscillation,2.434,125.95,23,True,True,True,high_mean_and_peak
banana__111_banana,banana,111_banana,put the banana on the tray,584,21.401,commanded,5,79.1,0.0086,0.725,45.51,10,12,144.1,0.0206,1.8,96.95,19,10,142.3,0.0172,1.48,73.21,15,12,50.7,0.0206,0.922,31.08,15,39,144.1,0.0206,shoulder_lift;wrist_flex,2,oscillation,1.8,96.95,19,False,False,False,
banana__113_banana,banana,113_banana,put the banana on the tray,575,20.602,commanded,2,49.0,0.0035,0.324,13.61,7,7,158.4,0.0122,1.079,34.88,13,11,169.3,0.0192,1.04,38.55,12,4,36.4,0.007,0.493,13.35,6,24,169.3,0.0192,,0,normal,1.079,38.55,13,False,False,False,
banana__121_banana,banana,121_banana,put the banana on the tray,601,22.651,commanded,4,83.2,0.0067,0.527,25.24,6,8,143.8,0.0133,1.01,28.32,15,8,150.2,0.0133,0.975,20.02,12,6,54.6,0.01,0.596,24.67,12,26,150.2,0.0133,,0,normal,1.01,28.32,15,False,False,False,
banana__123_banana,banana,123_banana,put the banana on the tray,484,16.489,commanded,4,51.7,0.0083,0.397,12.18,5,9,149.5,0.0186,1.111,36.2,10,10,158.6,0.0207,1.164,53.23,12,4,45.6,0.0083,0.527,22.55,5,27,158.6,0.0207,elbow_flex,1,oscillation,1.164,53.23,12,False,False,False,
banana__125_banana,banana,125_banana,put the banana on the tray,830,30.837,commanded,2,49.7,0.0024,0.255,6.0,4,4,168.4,0.0048,0.583,19.4,8,4,162.3,0.0048,0.632,10.32,7,5,58.7,0.006,0.476,9.04,3,15,168.4,0.006,,0,normal,0.632,19.4,8,False,False,False,
banana__126_banana,banana,126_banana,put the banana on the tray,1013,35.283,commanded,2,45.2,0.002,0.256,5.4,0,5,172.3,0.0049,0.843,28.88,11,8,158.5,0.0079,0.671,22.16,24,4,52.0,0.004,0.461,9.58,13,19,172.3,0.0079,,0,normal,0.843,28.88,24,False,False,False,
banana__159_banana,banana,159_banana,put the banana on the tray,451,14.831,commanded,2,43.8,0.0044,0.362,6.49,4,6,134.9,0.0133,1.04,13.78,9,9,137.6,0.02,0.934,11.85,10,4,44.3,0.0089,0.446,9.17,6,21,137.6,0.02,elbow_flex,1,oscillation,1.04,13.78,10,False,False,False,
