action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.87,0,50,,-4.31,-100.98,88.83,74.83,-1.28,0.92
2,0.90,1,49,0.280,-4.52,-101.26,88.65,74.74,-1.07,0.97
3,0.94,2,48,0.481,-4.54,-101.34,88.17,74.72,-1.06,0.95
4,0.97,3,47,0.326,-4.81,-101.66,88.23,74.75,-1.07,0.77
5,1.00,4,46,0.648,-5.03,-101.02,88.37,74.6,-0.97,0.87
6,1.04,5,45,0.415,-5.18,-101.43,88.35,74.73,-1.0,0.88
7,1.07,6,44,0.237,-5.33,-101.25,88.11,74.49,-1.0,0.86
8,1.10,7,43,0.205,-5.4,-101.04,87.96,74.66,-0.98,0.78
9,1.14,8,42,0.595,-6.0,-101.15,88.32,74.82,-1.02,0.78
10,1.17,9,41,0.294,-6.16,-101.44,88.56,74.62,-0.96,0.81
11,1.20,10,40,0.550,-6.5,-101.39,88.0,74.69,-1.01,0.75
12,1.24,11,39,0.440,-6.94,-101.37,88.04,74.68,-0.99,0.86
13,1.27,12,38,0.551,-7.42,-101.36,87.49,74.49,-0.95,0.87
14,1.30,13,37,0.572,-7.99,-101.28,87.35,74.54,-0.9,0.74
15,1.34,14,36,0.422,-8.42,-101.02,87.24,74.49,-0.96,0.71
16,1.37,15,35,0.219,-8.5,-100.86,87.46,74.27,-0.99,0.81
17,1.41,16,34,0.454,-8.95,-100.76,87.43,73.9,-0.95,0.76
18,1.44,17,33,0.401,-9.23,-101.16,87.2,73.78,-0.92,0.74
19,1.47,18,32,0.573,-9.47,-100.59,87.35,73.75,-0.99,0.68
20,1.51,19,31,0.227,-9.7,-100.55,87.53,73.6,-1.07,0.68
21,1.54,20,30,0.598,-9.92,-100.98,86.94,73.48,-1.07,0.77
22,1.57,21,29,0.696,-10.61,-100.94,87.25,73.34,-1.16,0.81
23,1.61,22,28,0.527,-10.73,-100.42,87.35,73.19,-1.2,0.82
24,1.64,23,27,0.634,-10.9,-101.05,87.54,73.01,-1.25,0.87
25,1.67,24,26,0.534,-10.81,-100.85,87.25,72.48,-1.24,0.69
26,1.71,25,25,0.392,-10.88,-101.07,87.64,72.68,-1.32,0.94
27,1.74,26,24,0.599,-10.65,-101.06,87.04,72.13,-1.34,0.76
28,1.77,27,23,0.278,-10.61,-100.88,87.32,72.13,-1.5,0.88
29,1.81,28,22,0.285,-10.4,-101.09,87.25,71.84,-1.33,0.75
30,1.84,29,21,0.368,-10.37,-100.72,86.91,71.78,-1.42,0.81
31,1.87,30,20,0.370,-10.29,-101.09,87.14,71.66,-1.53,0.82
32,1.91,31,19,0.385,-10.21,-100.93,86.75,71.73,-1.43,0.83
33,1.94,32,18,0.379,-10.04,-101.31,87.11,71.59,-1.48,0.85
34,1.97,33,17,0.299,-9.96,-101.03,86.81,71.52,-1.48,0.77
35,2.01,34,16,0.754,-10.08,-101.28,86.06,71.51,-1.47,0.64
36,2.04,35,15,0.619,-9.66,-100.66,86.23,71.42,-1.51,0.81
37,2.07,36,14,0.169,-9.83,-100.82,86.22,71.32,-1.64,0.72
38,2.11,37,13,0.143,-9.79,-100.76,86.28,71.18,-1.75,0.78
39,2.14,38,12,0.243,-9.78,-101.0,86.1,70.99,-1.85,0.75
40,2.17,39,11,0.747,-9.85,-100.25,86.51,70.83,-2.01,0.73
41,2.21,40,10,0.443,-10.06,-100.52,86.07,70.82,-2.14,0.79
42,2.24,41,9,0.919,-9.94,-99.6,86.15,70.74,-2.16,0.79
43,2.27,42,23,2.795,-9.69,-97.32,83.36,70.53,-2.64,0.73
44,2.31,43,22,1.053,-9.71,-96.27,82.94,70.06,-3.1,0.78
45,2.34,44,21,1.285,-9.63,-94.99,82.19,69.84,-3.31,0.71
46,2.38,45,20,1.032,-9.46,-93.96,81.44,69.54,-3.56,0.8
47,2.41,46,19,1.189,-9.62,-92.77,80.97,69.2,-3.75,0.73
48,2.44,47,18,1.321,-9.6,-91.45,80.83,68.95,-3.9,0.78
49,2.48,48,17,1.198,-9.64,-90.25,80.12,68.67,-4.03,0.8
50,2.51,49,16,1.523,-9.46,-88.72,79.33,68.53,-4.15,0.88
51,2.54,50,15,1.232,-9.56,-89.96,78.75,68.77,-5.07,0.88
52,2.58,51,14,1.358,-9.61,-88.6,78.3,68.66,-5.15,0.86
53,2.61,52,13,1.016,-9.6,-87.58,77.98,68.5,-5.3,0.92
54,2.64,53,12,2.394,-9.57,-85.19,76.57,67.98,-5.4,0.91
55,2.68,54,11,2.060,-9.46,-83.13,76.09,67.7,-5.51,0.86
56,2.71,55,10,2.793,-9.87,-80.34,74.65,67.18,-5.54,0.95
57,2.74,56,9,1.896,-9.84,-78.44,74.08,66.7,-5.79,0.93
58,2.78,57,8,3.106,-9.79,-75.33,72.1,66.52,-5.75,0.86
