action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.80,0,50,,-4.14,-101.99,89.63,76.52,-0.64,1.09
2,0.84,1,49,0.578,-3.98,-101.41,89.27,76.57,-0.61,1.02
3,0.87,2,48,0.463,-4.44,-100.96,88.93,76.71,-0.63,0.97
4,0.90,3,47,0.912,-4.43,-100.55,89.85,76.81,-0.61,1.0
5,0.94,4,46,0.652,-4.06,-100.28,89.19,77.01,-0.68,0.77
6,0.97,5,45,1.208,-4.41,-101.49,89.18,77.07,-0.62,1.04
7,1.00,6,44,0.689,-4.11,-101.17,89.87,77.26,-0.55,1.05
8,1.04,7,43,0.553,-4.23,-101.72,89.72,77.22,-0.63,1.04
9,1.07,8,42,0.168,-4.39,-101.55,89.82,77.31,-0.68,1.12
10,1.10,9,41,0.408,-4.24,-101.83,89.41,77.24,-0.67,1.05
11,1.14,10,40,0.483,-4.16,-101.44,89.89,77.2,-0.62,1.1
12,1.17,11,39,0.298,-4.29,-101.25,90.19,77.19,-0.7,1.03
13,1.21,12,38,0.519,-4.2,-101.77,89.99,77.1,-0.71,1.01
14,1.24,13,37,0.136,-4.23,-101.67,89.85,77.09,-0.7,1.02
15,1.27,14,36,0.285,-4.38,-101.85,89.98,77.37,-0.77,1.03
16,1.31,15,35,0.165,-4.21,-101.77,90.1,77.41,-0.76,0.99
17,1.34,16,34,0.363,-4.2,-101.4,89.93,77.43,-0.79,1.0
18,1.37,17,33,0.269,-4.16,-101.36,89.66,77.48,-0.72,0.99
19,1.41,18,32,0.202,-4.26,-101.56,89.68,77.46,-0.7,0.93
20,1.44,19,31,0.498,-4.17,-102.06,89.72,77.6,-0.81,0.92
21,1.47,20,30,0.218,-4.19,-101.87,89.88,77.44,-0.75,1.14
22,1.51,21,29,0.193,-4.31,-101.87,89.82,77.48,-0.75,0.95
23,1.54,22,28,0.325,-4.32,-102.1,89.49,77.45,-0.77,1.02
24,1.57,23,27,0.318,-4.07,-101.78,89.54,77.57,-0.77,0.9
25,1.61,24,26,0.396,-4.47,-101.78,89.68,77.56,-0.74,0.96
26,1.64,25,25,0.164,-4.3,-101.81,89.54,77.64,-0.7,0.97
27,1.67,26,24,0.154,-4.19,-101.65,89.42,77.51,-0.7,1.0
28,1.71,27,23,0.607,-4.14,-102.26,89.57,77.49,-0.78,0.88
29,1.74,28,22,0.113,-4.1,-102.3,89.46,77.6,-0.7,0.97
30,1.77,29,21,0.471,-4.22,-102.1,89.93,77.51,-0.81,0.96
31,1.81,30,20,0.942,-4.17,-102.24,88.99,77.54,-0.73,1.1
32,1.84,31,19,0.365,-4.06,-101.87,88.97,77.47,-0.67,1.13
33,1.87,32,18,0.426,-4.18,-101.87,89.4,77.6,-0.74,0.91
34,1.91,33,17,0.451,-3.98,-101.73,89.85,77.46,-0.7,0.97
35,1.94,34,16,0.399,-3.95,-101.9,89.79,77.86,-0.67,0.88
36,1.97,35,15,0.400,-4.18,-102.3,89.59,77.46,-0.71,1.02
37,2.01,36,14,0.253,-4.3,-102.08,89.84,77.4,-0.75,1.0
38,2.04,37,13,0.147,-4.19,-101.96,89.77,77.55,-0.72,1.05
39,2.07,38,12,0.305,-4.36,-101.65,89.87,77.54,-0.79,0.91
40,2.11,39,11,0.377,-4.22,-102.03,89.85,77.41,-0.79,0.95
41,2.14,40,10,0.435,-4.33,-102.13,90.28,77.58,-0.81,0.94
42,2.18,41,9,0.287,-4.23,-102.33,90.0,77.56,-0.79,0.93
43,2.21,42,8,0.446,-4.13,-101.88,89.89,77.46,-0.82,0.97
44,2.24,43,7,0.395,-4.34,-101.88,90.28,77.56,-0.74,0.92
45,2.28,44,6,0.276,-4.52,-102.15,90.01,77.72,-0.83,0.94
46,2.31,45,5,0.244,-4.28,-102.17,89.92,77.5,-0.85,0.78
47,2.34,46,4,0.434,-4.49,-102.52,90.36,77.68,-0.85,1.03
48,2.38,47,3,0.189,-4.45,-102.43,90.17,77.6,-0.8,0.88
49,2.41,48,2,0.271,-4.32,-102.16,90.44,77.51,-0.77,0.84
50,2.44,49,1,0.752,-4.38,-102.52,89.69,77.65,-0.97,1.03
51,2.68,50,29,0.578,-4.38,-101.94,89.85,77.08,-0.56,0.93
52,2.71,51,28,0.351,-4.47,-102.29,89.83,76.95,-0.53,1.0
53,2.74,52,27,0.518,-4.48,-101.77,89.68,76.87,-0.49,0.95
54,2.78,53,26,0.358,-4.39,-102.13,89.61,77.2,-0.45,0.99
55,2.81,54,25,0.408,-4.46,-101.72,89.71,77.15,-0.46,0.92
56,2.84,55,24,0.204,-4.4,-101.93,89.68,77.3,-0.5,0.89
57,2.88,56,23,0.156,-4.33,-101.9,89.53,77.18,-0.52,0.79
58,2.91,57,22,0.269,-4.31,-101.63,89.72,77.15,-0.48,0.88
59,2.94,58,21,0.385,-4.27,-101.63,89.33,77.1,-0.46,0.95
60,2.98,59,20,0.859,-4.3,-102.49,89.75,77.24,-0.45,1.0
61,3.01,60,19,0.572,-4.31,-101.92,89.82,77.35,-0.53,1.03
62,3.04,61,18,0.413,-4.17,-101.61,90.24,77.33,-0.51,1.06
63,3.08,62,17,0.564,-4.3,-102.18,89.9,77.33,-0.49,0.87
64,3.11,63,16,0.348,-4.12,-102.21,89.55,77.32,-0.51,0.95
65,3.15,64,15,0.647,-4.27,-101.57,89.9,77.2,-0.54,1.06
66,3.18,65,14,0.247,-4.02,-101.37,89.73,77.3,-0.59,1.05
67,3.21,66,13,0.742,-4.27,-102.12,89.58,77.17,-0.54,1.05
68,3.25,67,12,0.478,-4.43,-101.91,90.06,77.33,-0.55,1.05
69,3.28,68,11,0.158,-4.44,-101.76,89.93,77.48,-0.58,0.97
70,3.31,69,10,0.394,-4.19,-101.36,89.88,77.25,-0.52,1.1
71,3.35,70,9,0.458,-4.3,-101.82,89.93,77.12,-0.56,1.01
72,3.38,71,8,0.358,-4.18,-101.79,89.81,77.48,-0.54,0.98
