action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.90,0,50,,-4.66,-101.57,88.78,75.72,-0.46,0.94
2,0.94,1,49,0.529,-4.99,-101.04,88.8,75.74,-0.48,0.9
3,0.97,2,48,0.697,-5.48,-101.73,88.38,75.99,-0.52,0.92
4,1.00,3,47,0.428,-5.9,-101.72,88.46,76.12,-0.5,0.87
5,1.04,4,46,0.723,-6.63,-102.01,88.18,76.24,-0.45,0.86
6,1.07,5,45,0.700,-7.33,-101.56,87.79,76.3,-0.51,0.81
7,1.10,6,44,0.696,-8.02,-102.09,88.47,76.37,-0.44,0.88
8,1.14,7,43,0.807,-8.83,-101.85,88.59,76.45,-0.45,0.93
9,1.17,8,42,1.030,-9.86,-102.31,87.74,76.7,-0.42,0.91
10,1.20,9,41,0.705,-10.56,-102.25,88.02,76.73,-0.42,0.84
11,1.24,10,40,1.098,-11.66,-102.42,87.88,76.8,-0.43,0.85
12,1.27,11,39,0.988,-12.65,-102.7,88.16,76.67,-0.5,0.91
13,1.30,12,38,1.046,-13.7,-103.05,87.58,76.66,-0.51,0.85
14,1.34,13,37,0.967,-14.66,-102.96,88.0,76.78,-0.59,0.86
15,1.37,14,36,1.182,-15.84,-103.06,87.7,76.87,-0.54,0.78
16,1.40,15,35,1.605,-17.45,-102.93,87.74,77.07,-0.54,0.75
17,1.44,16,34,0.739,-18.19,-102.97,87.99,77.16,-0.53,0.8
18,1.47,17,33,0.972,-19.16,-103.06,87.15,77.18,-0.56,0.77
19,1.51,18,32,0.926,-20.08,-103.02,87.61,77.25,-0.6,0.81
20,1.54,19,31,0.652,-20.74,-103.06,87.15,77.46,-0.62,0.89
21,1.57,20,30,0.344,-21.08,-103.33,87.3,77.51,-0.62,0.72
22,1.61,21,29,0.615,-21.7,-103.31,87.54,77.41,-0.6,0.84
23,1.64,22,28,0.601,-22.14,-103.18,86.94,77.54,-0.62,0.79
24,1.67,23,27,0.762,-22.79,-102.82,87.7,77.54,-0.66,0.81
25,1.71,24,26,0.669,-23.46,-103.11,87.39,77.55,-0.66,0.79
26,1.74,25,25,0.549,-24.01,-103.04,87.25,77.34,-0.67,0.82
27,1.77,26,24,0.949,-24.96,-103.24,86.95,77.42,-0.71,0.76
28,1.81,27,23,0.233,-25.03,-103.01,86.95,77.47,-0.66,0.73
29,1.84,28,22,0.790,-25.82,-103.15,86.75,77.46,-0.72,0.89
30,1.87,29,21,0.446,-26.27,-103.13,87.05,77.3,-0.64,0.76
31,1.91,30,20,0.474,-26.74,-102.69,87.32,77.37,-0.7,0.71
32,1.94,31,19,0.247,-26.85,-102.72,87.57,77.13,-0.7,0.85
33,1.97,32,18,0.765,-27.03,-101.95,87.31,77.23,-0.62,0.75
34,2.01,33,17,0.641,-27.41,-102.59,86.89,77.05,-0.58,0.76
35,2.04,34,16,0.287,-27.67,-102.88,86.96,77.01,-0.77,0.67
36,2.07,35,15,0.449,-28.08,-102.74,86.51,77.08,-0.61,0.65
37,2.11,36,14,0.182,-28.25,-102.91,86.69,77.22,-0.7,0.62
38,2.14,37,13,0.327,-28.58,-102.83,86.64,77.11,-0.68,0.69
39,2.17,38,12,0.412,-28.99,-102.9,86.75,77.14,-0.75,0.7
40,2.21,39,11,0.466,-29.46,-102.96,86.39,76.93,-0.65,0.68
41,2.24,40,10,0.489,-29.95,-102.81,86.64,76.84,-0.75,0.71
42,2.27,41,9,0.483,-30.3,-103.1,87.12,76.7,-0.78,0.72
43,2.31,42,8,0.461,-30.38,-102.64,87.12,76.64,-0.77,0.66
44,2.34,43,7,0.543,-30.81,-102.62,86.58,76.56,-0.78,0.74
45,2.37,44,6,0.632,-31.07,-103.21,87.21,76.24,-0.8,0.62
46,2.41,45,5,0.416,-31.25,-102.79,86.84,75.9,-0.88,0.75
47,2.44,46,4,0.213,-31.34,-102.71,87.0,75.69,-0.99,0.6
48,2.48,47,3,0.433,-31.69,-103.0,87.44,75.51,-1.08,0.68
49,2.51,48,2,0.269,-31.93,-102.74,87.26,75.27,-1.13,0.68
50,2.54,49,1,0.455,-32.2,-102.39,87.24,74.81,-1.22,0.48
51,2.64,50,23,6.707,-38.91,-102.88,87.36,74.85,-0.5,0.69
52,2.68,51,22,0.363,-39.27,-103.03,87.46,74.53,-0.51,0.64
53,2.71,52,21,0.351,-39.62,-102.8,87.4,74.44,-0.59,0.67
54,2.74,53,20,0.413,-40.03,-102.65,87.21,74.03,-0.59,0.67
55,2.78,54,19,0.337,-40.37,-102.76,87.15,73.77,-0.61,0.65
56,2.81,55,18,0.610,-40.74,-102.78,87.76,73.3,-0.66,0.58
57,2.85,56,17,0.582,-40.84,-102.39,87.18,73.22,-0.65,0.62
58,2.88,57,16,0.671,-41.29,-102.98,86.5,73.16,-0.62,0.59
59,2.91,58,15,0.693,-41.64,-103.68,87.16,72.97,-0.57,0.56
60,2.95,59,14,1.053,-41.68,-102.62,86.86,72.81,-0.66,0.43
61,2.98,60,13,0.338,-41.76,-102.29,87.14,72.65,-0.72,0.51
62,3.01,61,12,0.710,-41.8,-102.99,87.43,72.42,-0.63,0.57
63,3.05,62,11,0.640,-41.58,-102.96,86.79,72.21,-0.85,0.5
64,3.08,63,10,0.302,-41.61,-102.66,87.03,72.05,-0.96,0.5
65,3.11,64,9,0.392,-41.61,-102.75,86.82,71.66,-1.11,0.5
66,3.15,65,8,0.482,-41.27,-102.27,86.42,71.26,-1.45,0.38
67,3.18,66,7,0.492,-41.03,-102.44,86.65,70.77,-1.9,0.26
68,3.21,67,6,0.869,-40.71,-102.43,86.29,70.25,-2.77,0.29
69,3.25,68,5,0.936,-40.43,-101.86,86.43,69.57,-3.7,0.52
70,3.28,69,4,0.969,-40.25,-101.65,86.19,68.95,-4.67,0.44
