action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.07,2736,50,,-13.9,-100.47,86.54,68.4,-2.4,0.61
2,1.10,2737,49,0.392,-13.64,-100.32,86.15,68.04,-2.42,0.61
3,1.14,2738,48,0.461,-13.99,-100.78,85.77,67.7,-2.48,0.52
4,1.17,2739,47,0.663,-13.91,-100.77,86.43,67.61,-2.45,0.57
5,1.20,2740,46,0.431,-14.26,-101.2,86.02,67.57,-2.46,0.46
6,1.24,2741,45,0.297,-14.33,-101.46,85.99,67.28,-2.51,0.39
7,1.27,2742,44,0.431,-14.34,-101.25,86.43,67.46,-2.46,0.49
8,1.30,2743,43,0.379,-14.49,-101.5,86.05,67.48,-2.4,0.48
9,1.34,2744,42,0.264,-14.55,-101.52,85.78,67.59,-2.48,0.42
10,1.37,2745,41,0.134,-14.52,-101.41,85.65,67.69,-2.48,0.39
11,1.40,2746,40,0.343,-14.54,-101.07,85.51,67.79,-2.47,0.39
12,1.44,2747,39,0.172,-14.4,-101.18,85.34,67.88,-2.48,0.32
13,1.47,2748,38,0.237,-14.63,-101.13,85.32,67.94,-2.5,0.41
14,1.50,2749,37,0.647,-14.62,-101.1,84.67,67.81,-2.51,0.42
15,1.54,2750,36,0.398,-14.87,-101.18,85.07,67.83,-2.53,0.4
16,1.57,2751,35,0.167,-14.85,-101.35,84.92,67.84,-2.53,0.56
17,1.61,2752,34,0.192,-15.0,-101.16,84.78,67.76,-2.51,0.41
18,1.64,2753,33,0.643,-14.86,-100.52,84.46,67.55,-2.52,0.39
19,1.67,2754,32,0.628,-15.27,-101.14,84.94,67.65,-2.52,0.47
20,1.71,2755,31,1.093,-15.32,-100.54,83.85,67.86,-2.52,0.44
21,1.74,2756,30,0.301,-15.52,-100.84,84.08,67.75,-2.48,0.34
22,1.77,2757,29,0.427,-15.62,-100.83,83.66,67.63,-2.54,0.36
23,2.71,2758,48,1.030,-15.38,-100.56,84.69,67.18,-2.47,0.47
24,2.74,2759,47,0.187,-15.39,-100.75,84.61,67.07,-2.42,0.52
25,2.78,2760,46,0.263,-15.64,-100.76,84.87,67.0,-2.45,0.49
26,2.81,2761,45,0.172,-15.74,-100.94,84.97,67.08,-2.48,0.43
27,2.84,2762,44,0.200,-15.94,-101.13,84.91,67.13,-2.49,0.53
28,2.88,2763,43,0.473,-15.84,-101.6,84.68,67.19,-2.56,0.45
29,2.91,2764,42,0.518,-16.05,-101.08,84.17,67.22,-2.57,0.23
30,2.94,2765,41,1.048,-15.99,-100.04,84.25,67.26,-2.48,0.27
31,2.98,2766,40,0.394,-16.03,-100.43,83.86,67.2,-2.46,0.39
32,3.01,2767,39,0.522,-15.93,-100.95,83.91,67.2,-2.39,0.37
33,3.04,2768,38,0.468,-16.4,-100.8,83.5,67.28,-2.6,0.37
34,3.08,2769,37,0.258,-16.31,-100.75,83.24,67.35,-2.45,0.43
35,3.11,2770,36,0.640,-16.82,-101.39,83.51,67.46,-2.55,0.26
36,3.14,2771,35,0.580,-16.24,-101.66,83.12,67.51,-2.51,0.36
37,3.18,2772,34,0.816,-16.35,-100.84,82.6,67.52,-2.55,0.34
38,3.21,2773,33,0.305,-16.04,-101.04,82.34,67.34,-2.57,0.26
39,3.24,2774,32,0.513,-16.19,-101.23,82.86,67.24,-2.54,0.24
40,3.28,2775,31,1.597,-15.82,-99.63,82.85,66.63,-2.51,0.21
41,3.31,2776,30,0.684,-15.97,-98.96,82.16,66.29,-2.42,0.05
42,3.34,2777,29,1.375,-15.61,-97.58,82.05,65.36,-2.47,0.18
43,3.38,2778,29,0.879,-15.56,-97.89,81.17,65.22,-2.66,0.33
44,3.41,2779,28,1.148,-15.69,-96.74,80.74,64.79,-2.78,0.29
45,3.44,2780,27,2.397,-15.76,-94.35,79.87,64.37,-2.8,0.3
46,3.48,2781,26,2.064,-15.63,-92.28,78.6,63.66,-2.96,0.27
47,3.51,2782,25,2.112,-15.6,-90.17,77.9,63.12,-2.89,0.19
48,3.55,2783,24,2.376,-15.43,-87.79,76.22,62.54,-2.97,0.24
49,3.58,2784,23,2.376,-15.41,-85.42,75.31,61.93,-3.04,0.28
50,3.61,2785,22,2.695,-15.18,-82.72,73.58,61.31,-3.11,0.3
51,3.65,2786,21,2.801,-15.07,-79.92,71.69,61.02,-3.21,0.35
52,3.68,2787,20,3.193,-15.13,-76.73,70.22,60.56,-3.42,0.3
53,3.71,2788,19,2.946,-15.13,-73.78,68.03,60.28,-3.65,0.42
54,3.75,2789,18,2.659,-14.91,-71.12,66.41,59.97,-3.76,0.36
55,3.78,2790,17,2.955,-15.09,-68.17,64.77,59.54,-3.87,0.4
56,3.81,2791,16,2.451,-14.86,-65.72,63.1,59.34,-3.97,0.44
57,3.85,2792,15,3.086,-14.95,-62.63,61.61,58.94,-4.13,0.39
58,3.88,2793,14,2.273,-14.97,-60.36,59.43,58.59,-4.31,0.48
59,3.91,2794,13,2.181,-15.08,-58.18,58.58,58.1,-4.43,0.52
60,3.95,2795,12,2.069,-14.91,-56.11,56.84,57.93,-4.58,0.47
61,3.98,2796,11,1.910,-14.99,-54.2,55.56,57.6,-4.75,0.6
62,4.01,2797,10,1.905,-15.09,-52.3,54.22,57.32,-4.84,0.59
63,4.05,2798,9,1.252,-15.33,-51.04,53.18,56.99,-4.79,0.52
64,4.08,2799,8,1.691,-15.42,-49.53,51.49,56.72,-4.84,0.62
65,4.11,2800,7,1.536,-15.3,-48.0,51.64,56.42,-4.79,0.67
66,4.15,2801,26,18.553,-15.91,-66.55,62.51,60.14,-3.69,0.27
67,4.18,2802,25,2.058,-15.93,-64.49,61.54,59.98,-3.84,0.37
68,4.21,2803,24,1.782,-15.65,-62.77,59.76,59.79,-3.99,0.37
69,4.25,2804,23,2.117,-15.82,-60.65,58.73,59.6,-4.16,0.37
70,4.28,2805,22,1.751,-15.62,-58.9,57.38,59.27,-4.31,0.5
71,4.31,2806,21,1.732,-15.43,-57.17,56.11,59.06,-4.36,0.4
72,4.35,2807,20,5.125,-15.52,-62.29,59.65,60.26,-4.55,0.29
73,4.38,2808,19,1.705,-15.85,-60.75,57.94,60.13,-4.72,0.36
74,4.42,2809,18,2.346,-15.81,-58.4,56.61,59.97,-4.77,0.3
75,4.45,2810,17,2.117,-15.87,-56.28,55.25,59.9,-4.86,0.45
76,4.48,2811,16,1.975,-15.82,-54.31,53.98,59.69,-4.97,0.37
77,4.52,2812,15,1.945,-15.58,-52.36,52.25,59.1,-5.16,0.27
78,4.55,2813,14,1.911,-15.89,-50.45,50.61,59.07,-5.35,0.35
79,4.58,2814,13,2.252,-16.16,-48.2,49.48,58.64,-5.41,0.43
80,4.62,2815,12,1.146,-16.13,-47.26,48.34,58.08,-5.46,0.39
81,4.65,2816,11,3.011,-15.83,-44.25,47.79,57.77,-5.42,0.53
82,4.68,2817,10,1.610,-15.83,-43.54,46.18,57.53,-5.44,0.47
83,4.72,2818,9,1.932,-15.93,-41.6,45.42,57.18,-5.33,0.46
84,4.75,2819,8,1.878,-15.94,-40.5,43.54,56.97,-5.24,0.26
85,4.78,2820,7,1.719,-15.89,-38.78,42.52,57.22,-5.28,0.59
86,4.82,2821,6,1.612,-15.68,-37.17,41.35,57.2,-5.22,0.53
87,4.85,2822,5,1.736,-15.54,-35.43,40.16,57.33,-5.18,0.56
88,4.88,2823,4,1.584,-15.54,-33.85,38.77,57.57,-5.34,0.59
89,4.92,2824,3,1.624,-15.34,-32.23,37.39,57.69,-5.34,0.64
90,4.95,2825,2,1.558,-14.84,-30.67,35.99,57.8,-5.22,0.58
91,4.98,2826,24,13.971,-14.89,-16.7,22.43,56.46,-5.91,0.6
92,5.02,2827,23,7.271,-14.99,-9.43,17.48,55.97,-6.01,0.71
93,5.05,2828,22,0.668,-14.82,-8.91,16.82,56.08,-5.98,0.83
94,5.08,2829,21,1.292,-14.72,-7.61,15.53,55.88,-5.82,1.38
95,5.12,2830,20,0.989,-15.06,-7.26,15.67,55.63,-5.62,2.37
96,5.15,2831,19,1.522,-14.63,-6.72,15.24,56.16,-5.79,3.89
97,5.18,2832,18,1.706,-14.85,-5.98,14.86,56.78,-5.8,5.6
98,5.22,2833,17,2.302,-14.99,-5.18,14.56,57.29,-5.77,7.9
99,5.25,2834,16,2.697,-14.77,-4.59,13.92,58.12,-5.72,10.6
100,5.28,2835,15,2.815,-14.55,-3.87,13.36,58.88,-5.87,13.41
101,5.32,2836,14,2.842,-14.7,-3.39,13.05,60.15,-6.1,16.26
102,5.35,2837,13,2.616,-14.39,-2.55,11.98,60.56,-6.29,18.87
103,5.39,2838,12,2.289,-13.99,-2.46,12.05,61.23,-6.11,21.16
104,5.42,2839,11,2.094,-14.23,-1.84,10.9,61.43,-6.07,23.25
105,5.45,2840,10,1.533,-14.24,-1.18,10.93,61.6,-5.93,24.79
106,5.49,2841,9,1.532,-14.17,-0.71,10.5,61.84,-6.0,26.32
107,5.52,2842,8,1.214,-14.14,0.21,10.51,62.37,-5.77,27.53
108,5.55,2843,7,1.208,-13.84,0.67,9.35,62.64,-5.54,28.74
109,5.59,2844,6,1.303,-13.87,1.97,8.66,63.07,-5.29,29.91
110,5.62,2845,5,1.143,-13.69,3.11,8.23,63.45,-5.12,30.9
111,5.65,2846,4,1.432,-13.89,4.55,7.5,63.63,-5.0,31.79
112,5.69,2847,3,1.432,-13.69,5.98,7.01,63.79,-4.89,32.27
113,5.72,2848,2,1.235,-13.53,7.21,5.8,63.96,-5.11,32.73
114,5.76,2849,1,1.109,-13.68,8.32,5.46,63.99,-4.95,33.11
115,5.93,2850,25,16.939,-13.11,-1.03,9.58,62.83,-6.51,16.17
116,5.96,2851,24,1.270,-13.23,-0.45,9.04,62.6,-6.5,17.44
117,6.00,2852,23,1.461,-13.25,-0.42,8.99,62.46,-6.41,18.9
118,6.03,2853,22,2.095,-13.48,0.06,8.49,62.4,-6.47,20.99
119,6.06,2854,21,2.173,-13.43,0.62,8.05,62.55,-6.53,23.17
120,6.10,2855,20,2.531,-13.55,0.66,7.8,62.57,-6.61,25.7
121,6.13,2856,19,1.926,-13.6,2.39,7.28,62.69,-6.64,27.62
122,6.17,2857,18,1.576,-13.63,3.0,6.4,63.02,-6.8,29.2
123,6.20,2858,17,0.794,-13.87,3.55,5.79,63.55,-6.56,29.99
124,6.23,2859,16,1.193,-13.84,4.75,4.66,63.96,-6.59,30.28
125,6.27,2860,15,0.882,-13.97,5.18,3.78,64.46,-6.58,30.45
126,6.30,2861,14,1.416,-13.85,6.6,2.98,64.67,-6.5,30.38
127,6.33,2862,13,1.235,-13.85,7.83,2.18,65.02,-6.45,30.23
128,6.37,2863,12,0.965,-13.69,8.46,1.21,65.48,-6.37,30.58
129,6.40,2864,11,0.719,-13.63,8.94,0.49,65.67,-6.33,30.93
130,6.43,2865,10,1.049,-13.73,9.98,0.11,66.07,-6.32,31.33
131,6.47,2866,9,1.855,-13.34,11.84,-1.01,66.4,-6.16,31.62
132,6.50,2867,8,0.494,-13.27,12.28,-1.4,66.89,-6.08,31.97
133,6.53,2868,7,1.308,-13.13,13.59,-1.81,67.08,-6.16,32.41
134,6.57,2869,6,0.981,-13.08,13.38,-2.14,67.26,-5.93,33.4
135,6.60,2870,5,0.742,-12.87,13.52,-1.79,67.33,-5.74,34.14
136,6.63,2871,4,1.427,-12.72,14.95,-2.26,67.3,-5.63,34.68
137,6.67,2872,3,0.976,-12.7,15.58,-3.24,67.57,-5.4,34.67
138,6.70,2873,2,0.321,-12.66,15.75,-2.97,67.89,-5.16,34.69
139,6.73,2874,1,1.193,-12.53,16.59,-4.17,68.05,-5.12,35.17
140,7.00,2875,24,23.923,-14.02,35.76,-28.09,74.09,-5.68,35.39
141,7.03,2876,23,1.438,-14.48,36.71,-29.53,75.02,-5.78,35.09
142,7.07,2877,22,1.413,-14.03,38.12,-30.89,75.93,-5.64,35.18
143,7.10,2878,21,1.069,-13.9,39.19,-31.61,76.73,-5.77,35.01
144,7.14,2879,20,1.435,-13.79,39.47,-33.04,77.31,-5.8,35.09
145,7.17,2880,19,1.732,-13.91,41.2,-33.58,77.97,-5.93,35.0
146,7.20,2881,18,0.725,-13.72,41.88,-34.3,78.62,-5.85,34.95
147,7.24,2882,17,0.715,-13.99,41.16,-34.93,79.32,-5.82,34.45
148,7.27,2883,16,1.441,-13.65,42.6,-34.78,79.47,-5.81,33.9
149,7.30,2884,15,1.458,-13.54,42.89,-35.68,79.88,-5.86,32.45
150,7.34,2885,14,1.919,-13.49,43.16,-36.03,80.65,-5.79,30.53
151,7.37,2886,13,2.283,-13.41,42.18,-37.69,80.91,-5.93,28.24
152,7.40,2887,12,2.342,-13.38,43.49,-38.04,81.26,-5.83,25.9
153,7.44,2888,11,2.367,-13.4,43.65,-38.05,81.27,-5.8,23.54
154,7.47,2889,10,2.485,-13.51,44.3,-38.38,81.53,-5.73,21.05
155,7.50,2890,9,2.284,-13.31,43.29,-38.36,81.42,-5.91,18.77
156,7.54,2891,8,1.817,-13.46,43.24,-39.09,81.38,-5.78,16.95
157,7.57,2892,7,1.507,-13.15,43.5,-39.45,81.56,-5.84,15.44
158,7.60,2893,6,1.337,-13.14,43.53,-39.85,81.85,-5.74,14.11
159,7.64,2894,5,0.878,-13.23,43.06,-39.88,81.78,-5.87,13.23
160,7.67,2895,4,1.026,-12.99,43.75,-39.74,82.17,-5.85,12.2
161,7.70,2896,3,0.894,-13.12,43.23,-40.17,82.31,-5.74,11.31
162,7.74,2897,2,0.789,-13.17,43.85,-40.14,82.34,-5.72,10.52
163,7.77,2898,26,16.694,-12.12,42.38,-39.25,80.8,-6.03,27.21
164,7.80,2899,25,7.488,-11.37,43.07,-40.23,80.66,-6.16,34.7
165,7.84,2900,24,1.691,-11.38,44.12,-41.92,81.24,-6.18,34.67
166,7.87,2901,23,1.024,-11.49,45.14,-42.48,81.8,-6.17,34.72
167,7.90,2902,22,0.671,-11.54,45.37,-43.01,82.47,-6.26,34.49
168,7.94,2903,21,1.432,-11.35,46.81,-43.27,82.99,-6.32,34.17
169,7.97,2904,20,0.917,-11.48,47.49,-44.07,83.51,-6.23,33.25
170,8.01,2905,19,1.357,-11.58,47.91,-44.78,84.18,-6.22,31.89
171,8.04,2906,18,1.934,-11.33,48.74,-44.52,84.36,-6.2,29.96
172,8.07,2907,17,2.458,-11.3,49.09,-44.45,84.49,-6.15,27.5
173,8.11,2908,16,2.638,-11.19,49.17,-43.97,84.26,-6.19,24.86
174,8.14,2909,15,2.817,-11.34,48.6,-44.19,84.17,-6.0,22.05
175,8.17,2910,14,2.469,-11.29,49.1,-43.82,84.01,-5.99,19.58
176,8.21,2911,13,2.327,-11.17,48.53,-43.82,83.87,-5.83,17.25
177,8.24,2912,12,1.822,-11.17,48.9,-43.58,84.02,-5.83,15.43
178,8.27,2913,11,1.310,-11.46,49.16,-44.05,83.99,-5.93,14.12
179,8.31,2914,10,1.219,-11.39,49.21,-43.71,84.24,-5.9,12.9
180,8.34,2915,9,1.333,-11.75,49.67,-44.25,84.52,-5.94,11.57
181,8.37,2916,8,1.224,-11.56,49.88,-44.42,84.84,-5.94,10.34
182,8.41,2917,7,0.712,-11.64,50.28,-44.25,85.06,-6.01,9.63
183,8.44,2918,6,0.662,-11.45,49.89,-44.83,85.67,-6.11,8.97
184,8.47,2919,5,0.862,-11.84,50.02,-45.54,86.53,-6.02,8.62
185,8.51,2920,4,0.699,-11.99,50.1,-46.24,87.23,-6.18,8.42
186,8.54,2921,26,5.992,-11.12,55.27,-52.23,88.76,-6.12,11.24
187,8.57,2922,25,1.303,-11.25,55.49,-52.83,89.23,-6.26,9.94
188,8.61,2923,24,1.150,-11.18,55.6,-53.39,89.7,-6.33,8.79
189,8.64,2924,23,2.039,-11.0,57.64,-55.3,90.0,-6.3,8.16
190,8.67,2925,22,0.630,-11.34,57.32,-55.93,90.51,-6.18,7.68
191,8.71,2926,21,0.736,-11.23,57.22,-55.84,90.88,-6.28,6.94
192,8.74,2927,20,0.648,-11.07,57.12,-56.49,91.22,-6.47,6.35
193,8.77,2928,19,0.572,-11.44,56.63,-56.78,91.75,-6.62,5.78
194,8.81,2929,18,0.812,-11.39,56.43,-56.96,92.56,-6.79,5.51
195,8.84,2930,17,0.794,-11.62,56.59,-57.76,93.19,-6.78,5.09
196,8.88,2931,16,0.760,-11.9,56.82,-58.52,93.57,-6.76,4.53
197,8.91,2932,15,0.824,-11.75,56.39,-58.85,94.4,-6.83,4.2
