action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.77,0,50,,-3.9,-102.33,89.61,77.35,-0.25,0.88
2,0.80,1,49,0.498,-3.76,-102.63,89.11,77.44,-0.29,0.65
3,0.84,2,48,0.506,-3.8,-102.34,89.61,77.59,-0.46,0.61
4,0.87,3,47,0.198,-3.95,-102.39,89.42,77.6,-0.48,0.7
5,0.90,4,46,0.388,-4.03,-102.33,89.56,77.99,-0.38,0.51
6,0.94,5,45,0.374,-4.1,-101.96,89.76,78.23,-0.36,0.69
7,0.97,6,44,0.555,-4.05,-102.51,89.53,78.41,-0.35,0.62
8,1.00,7,43,0.394,-4.12,-102.5,89.14,78.63,-0.38,0.62
9,1.04,8,42,0.436,-4.11,-102.06,89.09,78.7,-0.42,0.64
10,1.07,9,41,0.321,-4.02,-102.33,89.41,78.8,-0.51,0.78
11,1.10,10,40,0.303,-4.24,-102.63,89.45,78.69,-0.43,0.71
12,1.14,11,39,0.720,-4.12,-101.91,88.85,78.85,-0.46,0.65
13,1.17,12,38,0.834,-3.97,-102.17,89.68,78.94,-0.48,0.7
14,1.20,13,37,1.157,-4.16,-103.33,89.34,78.73,-0.4,0.64
15,1.24,14,36,1.316,-4.23,-102.01,89.38,78.73,-0.47,0.71
16,1.27,15,35,0.377,-3.86,-102.2,89.76,78.64,-0.46,0.59
17,1.30,16,34,0.240,-4.06,-102.04,89.97,78.47,-0.43,0.35
18,1.34,17,33,0.649,-4.24,-102.26,89.32,78.52,-0.47,0.64
19,1.37,18,32,0.800,-4.05,-102.58,90.12,78.51,-0.51,0.54
20,1.40,19,31,0.658,-4.07,-102.3,89.46,78.46,-0.42,0.52
21,1.44,20,30,0.231,-4.22,-102.4,89.7,78.55,-0.52,0.54
22,1.47,21,29,0.224,-3.99,-102.52,89.81,78.62,-0.42,0.64
23,1.51,22,28,0.216,-4.02,-102.4,89.59,78.52,-0.5,0.64
24,1.54,23,27,0.304,-4.02,-102.54,89.9,78.45,-0.52,0.73
25,1.57,24,26,0.378,-3.87,-102.92,89.62,78.48,-0.47,0.76
26,1.61,25,25,0.851,-4.06,-102.07,89.72,78.46,-0.46,0.63
27,1.64,26,24,0.402,-4.08,-101.98,89.32,78.59,-0.5,0.57
28,1.67,27,23,0.394,-4.28,-101.95,89.71,78.73,-0.56,0.54
29,1.71,28,22,0.456,-3.83,-101.99,89.35,78.58,-0.52,0.66
30,1.74,29,21,0.303,-3.86,-102.29,89.61,78.48,-0.62,0.61
31,1.77,30,20,0.295,-3.92,-102.38,89.91,78.47,-0.55,0.63
32,1.81,31,19,0.754,-3.68,-101.63,89.68,78.65,-0.53,0.69
33,1.84,32,18,0.513,-3.75,-102.14,89.67,78.42,-0.62,0.57
34,1.87,33,17,0.197,-3.55,-102.16,89.48,78.39,-0.57,0.64
35,1.91,34,16,0.817,-3.45,-101.34,89.45,78.48,-0.57,0.58
36,1.94,35,15,0.766,-3.26,-102.11,89.44,78.39,-0.62,0.63
37,1.97,36,14,0.169,-3.43,-102.03,89.54,78.52,-0.66,0.56
38,2.01,37,13,0.729,-3.31,-102.11,88.81,78.42,-0.65,0.66
39,2.04,38,12,0.707,-3.5,-102.58,89.52,78.37,-0.7,0.62
40,2.07,39,11,0.805,-3.74,-101.77,89.14,78.2,-0.6,0.64
41,2.11,40,10,0.198,-3.8,-101.97,88.94,78.26,-0.52,0.56
42,2.14,41,9,0.224,-3.58,-101.9,88.87,78.26,-0.57,0.65
43,2.17,42,8,0.809,-3.42,-102.71,88.98,78.27,-0.56,0.65
44,2.21,43,7,0.593,-3.72,-102.12,88.86,78.17,-0.62,0.57
45,2.24,44,6,0.277,-3.61,-101.99,89.13,78.29,-0.56,0.54
46,2.27,45,5,1.350,-3.69,-101.93,87.78,78.36,-0.5,0.71
47,2.31,46,4,1.186,-3.83,-102.38,88.97,78.17,-0.54,0.56
48,2.34,47,3,0.421,-3.59,-101.96,88.58,78.09,-0.53,0.49
49,2.37,48,2,0.320,-3.67,-102.16,88.9,78.35,-0.52,0.62
50,2.41,49,19,0.870,-3.54,-102.16,89.77,78.08,-0.62,0.58
51,2.44,50,18,0.310,-3.23,-102.42,89.77,77.89,-0.64,0.58
52,2.48,51,17,0.728,-3.19,-102.76,89.05,77.65,-0.68,0.72
53,2.51,52,16,0.814,-3.12,-101.95,89.7,77.99,-0.64,0.61
54,2.54,53,15,0.232,-2.99,-101.72,89.69,77.9,-0.7,0.61
55,2.58,54,14,0.435,-3.34,-102.15,89.38,77.98,-0.65,0.64
56,2.61,55,13,0.352,-3.3,-102.42,89.74,78.15,-0.66,0.71
57,2.64,56,12,0.457,-3.17,-102.18,89.28,77.87,-0.73,0.69
