action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.87,0,50,,-4.31,-102.27,89.54,76.51,-1.16,1.09
2,0.90,1,49,0.643,-4.14,-102.23,88.89,76.53,-1.28,1.06
3,0.94,2,48,0.663,-4.43,-102.34,89.56,76.78,-1.15,1.02
4,0.97,3,47,0.250,-4.36,-102.24,89.31,76.87,-1.18,0.97
5,1.00,4,46,0.439,-4.46,-101.98,89.75,77.06,-1.17,1.01
6,1.04,5,45,0.260,-4.2,-101.81,89.89,76.98,-1.14,0.94
7,1.07,6,44,0.566,-4.1,-101.74,89.32,76.81,-1.21,0.97
8,1.10,7,43,0.623,-4.43,-102.37,89.2,76.88,-1.28,0.93
9,1.14,8,42,0.258,-4.41,-102.18,89.45,76.92,-1.13,0.96
10,1.17,9,41,0.211,-4.41,-102.2,89.64,76.97,-1.18,1.17
11,1.20,10,40,0.136,-4.5,-102.15,89.56,77.03,-1.24,1.03
12,1.24,11,39,0.153,-4.47,-102.0,89.53,76.92,-1.2,1.02
13,1.27,12,38,0.321,-4.36,-102.32,89.51,76.77,-1.19,0.98
14,1.30,13,37,0.205,-4.47,-102.16,89.71,76.93,-1.24,0.98
15,1.34,14,36,0.359,-4.36,-102.3,89.35,76.75,-1.19,1.01
16,1.37,15,35,0.331,-4.35,-102.63,89.46,76.78,-1.17,0.94
17,1.41,16,34,0.562,-4.41,-102.27,88.89,76.67,-1.16,1.08
18,1.44,17,33,0.153,-4.31,-102.11,88.83,76.66,-1.19,1.05
19,1.47,18,32,0.446,-4.38,-102.56,89.26,76.6,-1.22,1.0
20,1.51,19,31,0.328,-4.5,-102.23,89.1,76.83,-1.14,0.91
21,1.54,20,30,0.501,-4.57,-102.73,89.07,76.84,-1.22,0.88
22,1.57,21,29,0.275,-4.3,-102.62,88.97,76.6,-1.18,0.77
23,1.61,22,28,0.250,-4.35,-102.36,89.15,76.8,-1.2,0.88
24,1.64,23,27,0.316,-4.3,-102.68,89.09,76.74,-1.23,0.92
25,1.67,24,26,0.624,-4.37,-102.71,88.46,76.87,-1.2,0.91
26,1.71,25,25,0.265,-4.19,-102.88,88.73,76.95,-1.19,0.95
27,1.74,26,24,0.802,-4.2,-102.07,88.34,76.85,-1.16,0.87
28,1.77,27,23,0.359,-4.24,-102.38,88.7,76.9,-1.12,0.9
29,1.81,28,22,0.244,-4.23,-102.27,88.45,76.76,-1.21,1.03
30,1.84,29,21,0.413,-4.29,-102.21,88.87,76.94,-1.14,0.91
31,1.87,30,20,0.453,-4.22,-102.67,88.86,76.85,-1.21,0.97
32,1.91,31,19,0.490,-4.23,-102.18,88.5,76.87,-1.16,0.97
33,1.94,32,18,0.190,-4.18,-102.37,88.44,76.98,-1.22,1.0
34,1.97,33,17,0.196,-4.27,-102.19,88.44,77.08,-1.13,0.8
35,2.01,34,16,0.220,-4.29,-102.4,88.22,76.9,-1.11,0.98
36,2.04,35,15,0.485,-4.22,-101.92,88.57,77.01,-1.18,0.94
37,2.07,36,14,0.320,-4.24,-101.88,88.89,76.92,-1.12,0.94
38,2.11,37,13,0.765,-4.19,-102.64,88.3,77.16,-1.1,1.06
39,2.14,38,12,0.707,-4.33,-101.94,88.85,76.99,-1.15,0.97
40,2.17,39,11,0.386,-4.32,-102.32,88.67,76.82,-1.14,0.95
41,2.21,40,10,0.232,-4.37,-102.32,88.64,77.05,-1.18,0.99
42,2.24,41,9,0.305,-4.56,-102.42,88.94,76.84,-1.18,0.93
