action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.90,690,50,,-13.34,-38.61,42.0,66.47,18.55,39.51
2,0.94,691,49,0.497,-13.06,-38.96,41.72,66.97,18.7,39.57
3,0.97,692,48,1.245,-12.89,-37.71,41.61,66.98,18.88,39.23
4,1.00,693,47,0.446,-13.26,-37.6,41.16,67.35,19.09,39.53
5,1.04,694,46,1.065,-13.44,-36.54,41.4,67.77,19.32,39.65
6,1.07,695,45,0.329,-13.74,-36.21,41.47,68.05,19.59,39.77
7,1.10,696,44,0.583,-13.68,-35.62,41.27,68.38,19.74,39.97
8,1.14,697,43,0.383,-14.06,-35.24,41.03,68.6,19.8,40.07
9,1.17,698,42,0.657,-14.14,-34.58,40.68,69.1,19.9,40.23
10,1.20,699,41,0.561,-14.37,-35.15,40.24,69.02,19.78,40.35
11,1.24,700,40,0.858,-14.23,-34.29,40.55,69.47,20.02,40.37
12,1.27,701,39,0.608,-14.4,-34.16,39.94,69.47,19.91,40.35
13,1.30,702,38,0.450,-14.44,-34.36,39.49,69.69,20.0,40.29
14,1.34,703,37,0.516,-14.87,-34.35,40.01,69.79,20.11,40.39
15,1.37,704,36,1.335,-14.55,-33.02,39.26,69.61,20.32,40.27
16,1.41,705,35,0.483,-14.45,-32.54,39.22,69.66,20.55,40.42
17,1.44,706,34,0.730,-15.03,-31.81,38.74,69.63,20.65,40.65
