action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.90,920,50,,-3.67,-102.43,87.24,78.2,-2.31,0.63
2,0.94,921,49,0.405,-3.55,-102.69,87.64,78.49,-2.34,0.48
3,0.97,922,48,0.294,-3.85,-102.65,87.76,78.21,-2.35,0.56
4,1.00,923,47,0.186,-3.66,-102.66,87.87,78.36,-2.39,0.62
5,1.04,924,46,0.292,-3.72,-102.42,88.16,78.34,-2.45,0.59
6,1.07,925,45,0.211,-3.93,-102.49,88.09,78.35,-2.43,0.55
7,1.10,926,44,0.208,-3.72,-102.52,88.26,78.36,-2.41,0.66
8,1.14,927,43,0.098,-3.69,-102.62,88.29,78.33,-2.37,0.58
9,1.17,928,42,0.201,-3.82,-102.8,88.09,78.41,-2.39,0.61
10,1.20,929,41,0.227,-3.82,-102.58,88.25,78.31,-2.43,0.53
11,1.24,930,40,0.096,-3.77,-102.48,88.22,78.23,-2.39,0.62
12,1.27,931,39,0.176,-3.73,-102.52,88.04,78.29,-2.46,0.59
13,1.31,932,38,0.560,-3.94,-102.56,88.6,78.34,-2.49,0.51
14,1.34,933,37,0.405,-3.71,-102.76,88.2,78.44,-2.51,0.5
15,1.37,934,36,0.302,-3.69,-102.52,88.5,78.43,-2.54,0.61
16,1.41,935,35,0.125,-3.73,-102.47,88.62,78.3,-2.59,0.59
17,1.44,936,34,0.170,-3.8,-102.4,88.45,78.39,-2.76,0.56
18,1.47,937,33,0.320,-3.78,-102.1,88.77,78.21,-2.71,0.54
19,1.51,938,32,0.464,-3.68,-102.57,88.38,78.27,-2.69,0.56
20,1.54,939,31,0.605,-3.58,-101.96,88.49,78.36,-2.67,0.69
21,1.57,940,30,0.287,-3.7,-102.25,88.75,78.39,-2.67,0.58
22,1.61,941,29,0.516,-3.67,-102.76,88.79,78.35,-2.62,0.65
23,1.64,942,28,0.670,-3.82,-102.37,88.12,78.28,-2.61,0.53
24,2.61,943,49,1.388,-4.1,-102.06,89.38,76.9,-1.92,0.57
25,2.64,944,48,0.912,-4.24,-102.97,88.74,76.75,-1.9,0.49
26,2.68,945,47,0.693,-4.12,-102.28,89.22,76.69,-1.97,0.51
27,2.71,946,46,0.500,-4.18,-102.39,89.72,76.74,-1.88,0.47
28,2.74,947,45,0.656,-4.19,-102.29,89.07,76.45,-1.95,0.45
29,2.78,948,44,0.109,-4.25,-102.33,89.05,76.53,-1.84,0.41
30,2.81,949,43,0.580,-4.39,-101.99,89.63,76.98,-1.89,0.46
31,2.85,950,42,0.511,-4.51,-102.32,89.86,76.47,-1.95,0.62
32,2.88,951,41,0.501,-4.62,-102.33,89.36,76.55,-1.85,0.48
33,2.91,952,40,0.362,-4.52,-101.97,89.49,76.59,-1.86,0.58
34,2.95,953,39,0.319,-4.54,-101.85,89.3,76.27,-1.89,0.47
35,2.98,954,38,0.247,-4.78,-101.65,89.49,76.47,-1.95,0.58
36,3.01,955,37,0.514,-4.82,-101.89,88.97,76.47,-1.9,0.45
37,3.05,956,36,0.857,-4.87,-101.55,88.12,76.67,-1.83,0.58
38,3.08,957,35,0.790,-4.96,-101.84,88.91,76.52,-1.94,0.57
39,3.11,958,34,0.254,-5.0,-102.04,88.79,76.62,-1.88,0.32
40,3.15,959,33,0.338,-5.1,-102.07,88.46,76.54,-1.84,0.4
41,3.18,960,32,0.564,-4.54,-102.37,88.76,76.69,-1.78,0.49
42,3.21,961,31,0.321,-4.58,-102.05,88.68,76.53,-1.83,0.44
43,3.25,962,30,0.180,-4.66,-101.97,88.71,76.71,-1.81,0.56
44,3.28,963,29,0.529,-4.88,-102.29,88.18,76.52,-1.95,0.57
45,3.31,964,28,0.819,-4.07,-102.04,88.37,76.43,-1.86,0.57
46,3.35,965,27,0.642,-4.21,-102.28,87.73,76.34,-1.88,0.47
47,3.38,966,26,0.202,-4.31,-102.08,87.84,76.29,-1.92,0.45
48,3.41,967,25,0.260,-4.35,-101.82,87.79,76.3,-1.86,0.43
49,3.45,968,24,0.385,-4.42,-102.08,88.17,76.3,-1.87,0.55
50,3.48,969,23,0.278,-4.4,-102.36,88.02,76.23,-1.86,0.52
51,3.51,970,22,0.291,-4.4,-102.06,87.8,76.26,-1.92,0.58
52,3.55,971,21,0.307,-4.47,-102.33,88.11,76.14,-1.94,0.57
53,3.58,972,20,0.467,-4.43,-102.01,87.64,76.1,-1.98,0.62
54,3.61,973,19,0.186,-4.62,-101.95,87.59,76.18,-1.93,0.67
55,3.65,974,18,0.608,-4.61,-101.51,88.19,76.15,-1.92,0.55
56,3.68,975,17,0.668,-4.73,-102.18,88.16,76.15,-1.95,0.56
57,3.71,976,16,0.613,-4.72,-101.57,88.28,76.01,-1.91,0.51
58,3.75,977,15,0.394,-4.65,-101.9,87.88,76.06,-1.97,0.57
59,3.78,978,14,0.302,-4.76,-101.89,87.58,76.02,-1.88,0.52
60,3.82,979,13,0.379,-4.92,-101.89,87.96,76.17,-1.91,0.51
61,3.85,980,12,0.373,-5.04,-101.66,87.59,76.07,-1.95,0.47
62,3.88,981,11,0.121,-5.14,-101.54,87.58,76.18,-1.94,0.47
