action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.87,0,50,,-3.89,-102.02,89.1,77.71,-0.91,0.79
2,0.90,1,49,0.150,-3.83,-102.17,89.05,77.83,-0.85,0.89
3,0.94,2,48,0.262,-3.8,-102.29,89.32,78.06,-0.92,0.96
4,0.97,3,47,0.729,-3.78,-101.56,89.15,78.23,-0.94,0.88
5,1.00,4,46,0.320,-3.78,-101.88,89.21,78.03,-0.89,0.87
6,1.04,5,45,0.205,-3.8,-102.04,89.25,78.18,-1.09,0.84
7,1.07,6,44,0.206,-3.77,-101.94,89.39,78.35,-0.89,0.92
8,1.10,7,43,0.293,-3.51,-102.12,89.62,78.06,-0.98,0.96
9,1.14,8,42,0.588,-3.82,-101.53,89.97,78.18,-0.89,0.95
10,1.17,9,41,0.989,-3.61,-101.93,88.98,78.54,-0.97,0.93
11,1.20,10,40,0.339,-3.55,-102.08,89.32,78.42,-0.93,0.9
12,1.24,11,39,0.087,-3.46,-102.14,89.4,78.36,-0.96,0.92
13,1.27,12,38,0.409,-3.35,-102.05,88.99,78.46,-0.9,0.87
14,1.30,13,37,0.572,-3.36,-102.17,89.57,78.52,-0.89,0.97
15,1.34,14,36,0.681,-3.44,-101.86,88.88,78.58,-0.95,0.87
16,1.37,15,35,0.978,-3.45,-102.84,88.95,78.58,-0.98,0.86
17,1.40,16,34,0.616,-3.34,-102.22,89.22,78.59,-0.93,0.91
18,1.44,17,33,0.379,-3.34,-102.6,89.49,78.62,-0.84,0.91
19,1.47,18,32,0.702,-3.39,-102.22,88.79,78.66,-0.87,0.71
20,1.51,19,31,0.591,-3.28,-102.11,89.38,78.71,-0.84,0.85
21,1.54,20,30,0.451,-3.29,-102.45,88.93,78.67,-0.89,0.82
22,1.57,21,29,0.276,-3.46,-102.52,88.65,78.81,-0.98,0.89
23,1.61,22,28,0.188,-3.27,-102.63,88.64,78.7,-0.95,0.83
24,1.64,23,27,0.811,-3.53,-102.34,89.45,78.87,-0.91,0.88
25,1.67,24,26,0.466,-3.39,-102.36,88.99,78.64,-1.04,0.84
26,1.71,25,25,0.313,-3.42,-102.66,89.3,78.64,-1.01,0.67
27,1.74,26,24,0.298,-3.44,-102.36,89.22,78.48,-0.93,0.9
28,1.77,27,23,0.500,-3.45,-101.86,89.19,78.52,-0.96,0.85
29,1.81,28,22,0.876,-3.47,-102.74,89.32,78.61,-0.97,0.83
30,1.84,29,21,1.055,-3.58,-101.69,89.02,78.55,-0.98,0.84
31,1.87,30,20,0.734,-3.55,-102.42,89.17,78.59,-0.91,0.72
32,1.91,31,19,0.736,-3.38,-101.68,89.3,78.46,-1.05,0.8
33,1.94,32,18,0.166,-3.5,-101.52,89.2,78.41,-1.06,0.89
34,1.97,33,17,0.172,-3.52,-101.69,89.31,78.48,-1.0,0.8
