action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.90,2265,50,,-52.21,15.01,-14.32,74.91,3.23,28.0
2,0.94,2266,49,0.822,-53.03,15.25,-15.02,74.71,3.39,28.59
3,0.97,2267,48,1.294,-53.08,16.5,-16.31,74.4,3.64,29.07
4,1.00,2268,47,1.038,-53.53,16.61,-17.35,74.22,3.74,29.06
5,1.04,2269,46,0.344,-53.88,16.94,-17.42,73.88,4.06,29.08
6,1.07,2270,45,0.849,-54.04,17.79,-17.89,73.77,4.46,29.08
7,1.10,2271,44,0.577,-54.29,18.27,-18.47,73.25,4.64,28.93
8,1.14,2272,43,1.190,-54.22,19.46,-18.96,73.04,5.26,28.93
9,1.17,2273,42,1.314,-54.1,20.24,-20.27,72.61,5.56,28.95
10,1.20,2274,41,1.040,-53.98,21.28,-20.89,72.52,6.25,28.9
11,1.24,2275,40,1.036,-54.08,22.32,-21.5,72.0,6.46,29.04
12,1.27,2276,39,1.101,-54.06,23.33,-22.6,72.02,6.82,28.89
13,1.30,2277,38,1.227,-54.12,24.55,-23.45,71.87,6.93,28.9
14,1.34,2278,37,1.044,-53.92,25.54,-24.49,71.91,6.87,28.75
15,1.37,2279,36,1.149,-54.02,26.69,-24.99,71.65,6.87,28.68
16,1.40,2280,35,1.284,-54.06,27.31,-26.28,71.59,6.82,28.68
17,1.44,2281,34,0.996,-53.83,28.3,-26.89,71.5,6.74,28.68
18,1.47,2282,33,0.649,-53.86,28.86,-27.54,71.42,6.51,28.64
19,1.50,2283,32,0.788,-54.02,29.65,-28.03,71.55,6.44,28.54
20,1.54,2284,31,0.943,-53.97,30.04,-28.97,71.59,6.28,28.71
21,1.57,2285,30,0.312,-53.99,30.29,-28.66,71.68,6.07,28.57
22,1.60,2286,29,1.370,-53.83,31.66,-29.61,71.72,5.85,28.58
23,1.64,2287,28,0.691,-54.09,30.97,-29.41,71.84,5.66,28.59
24,1.67,2288,27,1.403,-54.11,31.17,-30.82,71.63,5.55,28.57
25,1.71,2289,26,0.853,-54.24,32.02,-30.97,71.68,5.51,28.66
26,2.44,2290,49,5.498,-48.85,32.72,-31.23,77.18,5.72,31.93
27,2.47,2291,48,1.481,-49.44,32.47,-30.86,78.66,5.77,32.29
28,2.51,2292,47,1.550,-49.57,32.98,-31.55,80.21,5.72,32.7
29,2.54,2293,46,1.428,-49.76,32.76,-32.14,81.63,5.68,33.16
30,2.57,2294,45,1.075,-49.94,32.18,-31.44,82.71,5.64,33.56
31,2.61,2295,44,0.867,-49.91,31.36,-30.99,83.58,5.66,33.8
32,2.64,2296,43,1.249,-49.83,30.93,-29.74,84.14,5.76,34.19
33,2.67,2297,42,0.795,-49.57,30.13,-28.98,84.62,5.94,34.13
34,2.71,2298,41,1.881,-49.46,29.64,-27.1,84.78,6.11,34.2
35,2.74,2299,40,0.926,-49.18,28.72,-26.55,84.88,6.35,34.05
36,2.77,2300,39,1.558,-49.27,28.08,-24.99,84.93,6.45,33.86
37,2.81,2301,38,0.979,-48.7,27.58,-24.01,84.68,6.53,33.81
38,2.84,2302,37,1.337,-48.87,27.43,-22.68,84.52,6.61,33.78
39,2.88,2303,36,1.130,-48.74,27.04,-21.55,84.31,6.56,33.97
40,2.91,2304,35,1.045,-48.67,26.76,-20.5,84.21,6.58,33.77
41,2.94,2305,34,0.951,-48.44,27.03,-19.55,84.0,6.47,33.89
42,2.98,2306,33,0.702,-48.24,27.73,-19.02,83.75,6.31,33.67
43,3.01,2307,32,0.832,-48.26,26.97,-18.19,83.79,6.3,33.8
44,3.04,2308,31,0.785,-48.4,27.28,-17.4,83.68,6.2,33.78
45,3.08,2309,30,1.238,-48.24,28.52,-18.12,83.35,6.03,33.64
46,3.11,2310,29,0.856,-47.77,29.05,-17.82,82.49,5.73,33.58
47,3.14,2311,28,1.269,-47.62,30.32,-17.17,81.83,5.46,33.53
48,3.18,2312,27,0.845,-47.24,30.73,-16.32,81.19,5.3,33.42
49,3.21,2313,26,0.648,-47.48,30.93,-16.26,80.54,5.37,33.18
