action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.94,782,50,,-1.57,-101.99,87.11,79.55,0.88,0.06
2,0.97,783,49,0.892,-1.61,-101.1,87.16,79.36,0.87,0.07
3,1.00,784,48,0.308,-1.3,-101.25,87.13,79.28,0.77,0.21
4,1.04,785,47,0.598,-1.26,-101.85,87.1,79.41,0.86,0.02
5,1.07,786,46,0.433,-1.63,-101.63,87.53,79.48,0.86,0.21
6,1.10,787,45,0.569,-1.06,-101.97,87.32,79.64,0.75,0.26
7,1.14,788,44,0.563,-1.5,-101.41,87.56,79.45,0.76,0.07
8,1.17,789,43,0.475,-1.52,-100.93,87.13,79.3,0.94,-0.06
9,1.20,790,42,0.309,-1.21,-101.06,87.11,79.5,0.76,-0.05
10,1.24,791,41,0.797,-1.52,-101.41,87.9,79.19,0.73,0.06
11,1.27,792,40,0.377,-1.43,-101.72,87.98,79.57,0.76,0.18
12,1.30,793,39,0.486,-1.6,-101.24,87.74,79.55,0.72,0.12
13,1.34,794,38,0.438,-1.38,-101.68,88.15,79.38,0.75,0.1
14,1.37,795,37,0.341,-1.43,-101.34,87.84,79.35,0.69,-0.05
15,1.41,796,36,0.398,-1.48,-101.34,88.24,79.32,0.72,0.06
16,1.44,797,35,0.316,-1.16,-101.35,88.52,79.39,0.65,0.15
17,1.47,798,34,0.373,-1.19,-101.61,88.15,79.35,0.67,0.22
18,1.51,799,33,0.824,-1.12,-102.05,88.97,79.46,0.64,-0.08
19,1.54,800,32,0.305,-1.06,-102.05,88.66,79.24,0.65,0.14
20,1.57,801,31,0.918,-1.13,-101.13,88.6,79.19,0.67,0.01
21,1.61,802,30,0.259,-1.12,-101.39,88.41,79.2,0.53,0.12
22,1.64,803,29,0.445,-0.69,-100.94,88.25,79.4,0.61,-0.05
23,2.44,804,48,1.594,-1.19,-102.53,87.03,78.23,0.83,-0.11
24,2.48,805,47,0.452,-1.07,-102.08,86.62,78.28,0.9,-0.08
25,2.51,806,46,0.158,-1.19,-102.24,86.51,78.43,0.88,-0.16
26,2.54,807,45,0.429,-0.98,-102.05,86.08,78.28,0.9,-0.05
27,2.58,808,44,0.705,-0.97,-102.17,86.79,78.9,0.78,-0.09
28,2.61,809,43,0.629,-1.01,-101.54,86.6,78.91,0.92,0.05
29,2.64,810,42,0.425,-0.89,-101.75,86.17,78.98,0.98,-0.17
30,2.68,811,41,0.562,-0.9,-102.31,85.73,79.15,0.82,-0.21
31,2.71,812,40,0.319,-0.8,-102.03,86.05,78.89,0.82,-0.08
32,2.74,813,39,0.588,-1.04,-101.44,86.17,79.09,0.91,0.06
33,2.78,814,38,0.577,-0.93,-102.02,86.19,79.02,0.67,-0.24
34,2.81,815,37,0.214,-0.79,-101.97,86.4,78.87,0.75,-0.2
35,2.84,816,36,0.321,-0.83,-102.29,86.29,78.88,0.75,-0.15
36,2.88,817,35,0.568,-0.99,-101.73,86.1,78.76,0.79,-0.2
37,2.91,818,34,0.551,-0.93,-101.91,86.65,78.86,0.89,-0.06
38,2.94,819,33,0.957,-0.86,-102.87,86.81,78.74,0.95,0.0
39,2.98,820,32,0.731,-1.08,-102.13,86.56,78.78,0.99,-0.1
40,3.01,821,31,0.382,-0.97,-101.75,86.63,78.76,0.9,-0.12
