action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.84,0,50,,-4.14,-103.25,88.76,75.12,-0.95,1.2
2,0.87,1,49,0.703,-4.16,-102.55,88.72,75.08,-0.82,1.08
3,0.90,2,48,0.556,-4.15,-103.1,88.41,74.57,-0.96,1.29
4,0.94,3,47,0.736,-4.17,-102.37,88.49,74.39,-0.99,1.23
5,0.97,4,46,0.515,-4.38,-102.88,88.78,74.13,-0.9,1.11
6,1.00,5,45,0.569,-4.39,-102.81,89.21,73.56,-0.9,1.1
7,1.04,6,44,0.590,-4.52,-102.83,89.16,72.97,-0.95,1.14
8,1.07,7,43,1.061,-4.73,-102.65,89.38,71.91,-0.95,0.98
9,1.10,8,42,0.634,-4.7,-103.08,89.25,71.28,-0.97,0.96
10,1.14,9,41,0.760,-4.37,-102.76,89.23,70.52,-0.94,0.86
11,1.17,10,40,0.720,-4.22,-102.69,89.53,69.8,-0.92,1.01
12,1.20,11,39,0.704,-4.29,-102.8,89.76,69.09,-0.97,1.04
13,1.24,12,38,0.892,-3.66,-102.98,89.24,68.2,-1.05,1.06
14,1.27,13,37,0.999,-3.08,-103.31,89.43,67.2,-1.03,0.98
15,1.30,14,36,0.793,-2.29,-102.99,89.2,66.52,-1.04,1.04
16,1.34,15,35,1.003,-1.42,-102.82,89.16,65.51,-1.01,1.04
17,1.37,16,34,1.029,-0.4,-102.71,89.13,64.61,-0.93,0.92
18,1.40,17,33,0.978,0.04,-103.02,89.0,63.63,-0.98,0.88
19,1.44,18,32,1.062,1.1,-103.26,89.34,62.91,-0.97,0.93
20,1.47,19,31,0.702,1.71,-103.14,89.05,62.21,-0.96,1.02
21,1.51,20,30,0.764,2.47,-102.6,88.74,61.74,-1.01,0.98
22,1.54,21,29,0.851,3.32,-102.97,88.51,61.3,-1.03,0.95
23,1.57,22,28,0.514,3.84,-103.02,88.91,61.14,-0.97,1.08
24,1.61,23,27,0.587,4.42,-103.04,89.22,61.02,-0.95,1.03
25,1.64,24,26,0.599,4.67,-102.67,88.62,61.04,-0.99,1.0
26,1.67,25,25,0.576,5.25,-103.04,88.11,61.14,-1.03,1.08
27,1.71,26,24,0.310,5.56,-102.78,88.15,61.0,-0.97,1.02
28,1.74,27,23,0.415,5.85,-102.36,88.27,61.05,-0.98,0.95
29,1.77,28,22,0.172,5.95,-102.3,88.12,60.87,-0.88,1.02
30,1.81,29,21,0.490,6.33,-102.79,88.42,60.98,-0.95,1.04
31,1.84,30,20,0.420,6.59,-102.54,88.0,61.22,-1.03,0.97
32,1.87,31,19,0.466,6.58,-102.3,87.53,61.0,-0.93,0.93
33,1.91,32,18,0.867,6.62,-103.16,88.16,60.92,-0.93,0.93
34,1.94,33,17,0.730,6.5,-102.79,87.43,60.77,-0.89,0.9
35,1.97,34,16,0.988,6.21,-102.73,86.44,60.65,-0.91,1.0
36,2.01,35,15,0.220,6.28,-102.89,86.53,60.43,-0.96,1.08
37,2.04,36,14,0.279,6.16,-102.86,86.81,60.33,-0.97,1.01
38,2.07,37,13,0.589,6.17,-102.27,86.27,59.79,-0.9,0.93
39,2.11,38,12,0.203,5.96,-102.39,86.29,59.66,-0.84,0.91
40,2.14,39,11,0.253,5.71,-102.55,86.34,59.44,-0.9,0.96
41,2.17,40,10,0.476,5.64,-102.54,85.86,59.13,-0.81,1.03
42,2.21,41,9,0.275,5.37,-102.65,85.65,59.01,-0.75,0.79
43,2.24,42,23,4.641,0.73,-100.99,85.78,58.36,-1.26,0.88
44,2.27,43,22,0.499,0.75,-101.36,86.28,58.34,-1.32,0.97
45,2.31,44,21,1.190,0.73,-101.33,85.09,58.35,-1.34,0.88
46,2.34,45,20,0.279,0.8,-101.05,85.03,58.27,-1.38,0.88
47,2.37,46,19,0.597,1.0,-101.52,85.63,57.99,-1.35,0.92
48,2.41,47,18,0.329,1.12,-101.19,85.4,57.89,-1.3,0.93
49,2.44,48,17,0.156,1.1,-101.12,85.55,57.9,-1.41,0.98
50,2.48,49,16,0.645,1.09,-101.02,84.91,57.9,-1.26,0.87
51,2.51,50,15,1.185,-0.1,-100.39,84.97,58.41,-1.55,1.01
52,2.54,51,14,1.186,0.13,-100.69,83.78,58.29,-1.6,0.85
53,2.58,52,13,0.671,0.11,-100.89,84.45,58.61,-1.71,1.0
54,2.61,53,12,0.885,0.08,-100.58,85.34,58.87,-1.48,0.94
55,2.64,54,11,1.022,0.48,-100.48,84.32,59.04,-1.62,0.82
56,2.68,55,10,0.279,0.27,-100.71,84.04,59.19,-1.62,0.85
57,2.71,56,9,1.221,0.55,-100.88,82.82,59.32,-1.62,0.77
58,2.74,57,8,0.885,0.82,-100.0,82.29,59.98,-1.63,0.8
59,2.78,58,7,0.760,0.88,-100.76,81.95,60.24,-1.58,1.02
60,2.81,59,6,0.682,0.94,-100.51,81.99,60.92,-1.57,0.79
61,2.84,60,5,0.415,1.0,-100.93,81.79,61.32,-1.6,0.89
62,2.88,61,4,0.930,1.14,-100.0,80.95,61.64,-1.45,0.82
63,2.91,62,3,0.740,1.01,-99.86,80.21,61.89,-1.58,0.68
64,2.94,63,2,0.462,1.03,-100.32,79.99,62.05,-1.5,0.9
65,2.98,64,1,0.307,1.18,-100.08,79.87,62.36,-1.58,0.78
66,3.14,65,26,5.094,4.41,-100.74,80.44,57.27,1.05,0.59
67,3.18,66,25,1.040,4.73,-101.26,79.4,56.98,0.93,0.53
68,3.21,67,24,0.411,4.46,-100.92,79.8,57.4,0.99,0.52
69,3.24,68,23,0.879,4.61,-100.86,78.92,57.57,1.04,0.53
70,3.28,69,22,0.429,4.3,-100.66,79.35,57.8,1.04,0.55
71,3.31,70,21,1.230,4.26,-100.84,78.12,58.13,1.04,0.46
72,3.35,71,20,0.813,4.17,-100.78,77.3,58.48,1.03,0.48
73,3.38,72,19,1.078,4.14,-100.6,76.23,58.86,1.04,0.45
74,3.41,73,18,1.127,4.15,-100.81,75.1,59.55,1.05,0.39
75,3.45,74,17,0.703,3.74,-100.2,74.78,60.25,0.92,0.52
76,3.48,75,16,0.597,3.79,-100.47,74.31,60.85,0.98,0.54
77,3.51,76,15,0.860,3.67,-100.61,73.64,61.71,0.85,0.52
78,3.55,77,14,1.433,3.75,-101.24,72.2,62.51,0.89,0.56
79,3.58,78,13,1.165,3.39,-101.21,71.24,63.67,1.0,0.43
80,3.61,79,12,1.237,2.98,-101.16,70.43,64.91,0.96,0.32
81,3.65,80,11,1.118,2.79,-100.47,69.31,65.96,0.87,0.37
82,3.68,81,10,0.981,2.35,-100.56,68.33,66.67,1.11,0.52
83,3.71,82,9,1.003,2.29,-100.67,68.64,67.67,1.16,0.51
84,3.75,83,8,0.983,2.16,-100.7,67.66,68.12,0.97,0.4
85,3.78,84,7,0.952,1.59,-100.51,66.71,68.69,1.03,0.36
86,3.81,85,6,0.342,1.25,-100.19,66.96,69.03,1.11,0.51
87,3.85,86,5,0.812,0.61,-99.37,66.86,69.12,1.08,0.34
88,3.88,87,4,0.628,-0.02,-98.9,67.22,69.09,1.15,0.29
89,3.91,88,3,0.927,-0.94,-98.53,66.95,68.42,1.11,0.35
90,3.95,89,25,29.708,1.31,-68.83,55.97,63.16,2.8,0.06
91,3.98,90,24,1.647,1.21,-67.65,54.32,63.39,2.65,0.05
92,4.02,91,23,12.686,2.17,-54.96,49.52,62.24,3.44,-0.42
93,4.05,92,22,0.887,2.01,-54.08,49.06,62.8,3.74,-0.17
94,4.08,93,21,0.966,2.32,-53.13,48.1,63.51,3.69,-0.42
95,4.12,94,20,0.621,2.38,-53.17,47.48,64.1,3.87,-0.42
96,4.15,95,19,0.645,2.11,-53.31,47.06,64.74,3.92,-0.09
97,4.18,96,18,0.644,2.16,-52.75,47.22,65.39,4.29,0.36
98,4.22,97,17,1.770,2.45,-52.41,46.31,66.14,4.5,2.13
99,4.25,98,16,2.687,2.05,-51.93,45.59,66.72,4.84,4.81
100,4.28,99,15,2.187,2.29,-52.25,44.95,67.4,5.14,7.0
101,4.32,100,14,2.683,2.33,-50.76,44.96,68.29,5.66,9.68
102,4.35,101,13,0.983,2.47,-51.34,44.65,69.08,6.06,10.67
103,4.38,102,12,2.377,2.25,-51.74,44.07,69.61,6.78,13.04
104,4.42,103,11,1.257,2.34,-50.48,44.75,70.64,7.36,14.25
105,4.45,104,10,2.588,2.68,-50.5,43.65,71.03,7.89,16.83
106,4.48,105,9,2.486,2.62,-50.69,44.0,71.55,8.32,19.32
107,4.52,106,8,2.946,2.74,-49.81,44.09,72.01,8.35,22.27
108,4.55,107,7,2.037,2.57,-49.21,43.75,72.26,8.66,24.3
109,4.58,108,6,1.685,2.39,-49.02,42.33,72.47,8.76,25.99
110,4.62,109,5,1.398,2.26,-48.13,43.73,72.46,8.85,26.67
111,4.65,110,4,0.885,2.43,-49.02,43.16,72.21,8.95,27.33
112,4.68,111,3,0.895,2.13,-48.12,42.4,72.47,9.25,27.91
113,4.72,112,26,12.828,0.05,-51.46,41.54,70.69,5.91,15.08
114,4.75,113,25,1.920,-0.18,-51.25,41.68,70.87,6.19,17.0
115,4.78,114,24,2.704,-1.01,-52.1,40.99,70.4,5.08,14.3
116,4.82,115,23,2.213,-0.91,-51.59,41.1,70.58,5.25,16.51
117,4.85,116,22,1.902,-1.1,-51.04,41.03,71.47,5.57,18.41
118,4.88,117,21,1.617,-1.13,-51.19,41.3,71.6,5.85,20.03
119,4.92,118,20,1.555,-1.43,-50.08,40.58,72.03,6.2,21.58
120,4.95,119,19,1.519,-1.23,-50.05,40.31,72.54,6.7,23.1
121,4.99,120,18,1.242,-1.36,-50.0,40.72,73.09,7.5,24.34
122,5.02,121,17,1.525,-1.59,-49.66,40.59,72.76,8.36,25.87
123,5.05,122,16,1.357,-1.79,-49.31,39.82,73.27,9.25,27.23
124,5.09,123,15,1.139,-1.97,-49.46,40.6,73.36,9.91,28.36
125,5.12,124,14,1.159,-1.85,-49.82,40.37,73.74,10.53,29.52
126,5.15,125,13,1.108,-2.01,-48.71,39.88,73.92,11.12,30.6
127,5.19,126,12,1.082,-2.47,-48.39,40.27,74.27,11.66,31.68
128,5.22,127,11,0.921,-2.57,-47.98,39.47,74.62,12.04,32.6
129,5.25,128,10,1.536,-2.46,-46.44,39.03,74.71,12.45,33.52
130,5.29,129,9,0.876,-2.58,-47.07,39.22,74.91,12.75,34.4
131,5.32,130,8,0.842,-2.6,-46.23,39.44,75.03,13.09,34.69
132,5.35,131,7,1.518,-3.03,-44.71,38.74,75.1,13.27,35.14
133,5.39,132,6,0.492,-2.82,-44.71,38.7,75.2,13.76,35.47
134,5.42,133,5,1.636,-2.98,-43.07,38.24,75.4,13.82,35.78
135,5.45,134,4,0.151,-3.07,-42.97,38.1,75.34,13.94,35.94
136,5.49,135,26,4.261,-1.8,-38.71,39.14,73.24,11.31,37.0
137,5.52,136,25,0.851,-1.8,-37.86,38.31,73.25,11.23,37.09
138,5.55,137,24,0.961,-1.94,-36.9,38.02,73.2,11.41,36.97
139,5.59,138,23,2.091,-1.58,-34.81,38.67,71.87,10.21,37.2
140,5.62,139,22,0.830,-1.6,-34.62,37.84,72.05,10.18,37.31
141,5.65,140,21,0.748,-1.91,-33.87,37.38,72.1,10.14,37.43
142,5.69,141,20,0.958,-1.85,-32.91,37.44,72.07,10.15,37.31
143,5.72,142,19,0.971,-1.98,-32.04,36.47,72.05,10.09,37.47
144,5.75,143,18,0.806,-2.08,-31.24,36.39,71.93,10.23,37.42
145,5.79,144,17,0.647,-2.14,-30.61,35.74,71.85,10.18,37.44
146,5.82,145,16,1.307,-2.01,-29.3,34.97,71.74,10.09,37.41
147,5.85,146,15,1.006,-1.94,-28.3,34.36,71.54,10.08,37.48
148,5.89,147,14,1.144,-1.92,-27.15,33.72,71.23,10.09,37.4
149,5.92,148,13,0.766,-1.92,-26.39,33.59,70.9,10.08,37.35
150,5.96,149,12,1.307,-1.91,-25.08,32.94,70.6,10.03,37.33
151,5.99,150,11,0.885,-1.89,-24.19,32.56,70.26,10.03,37.4
152,6.02,151,10,1.145,-2.06,-23.05,32.04,70.1,9.84,37.41
153,6.06,152,9,0.992,-2.01,-22.06,31.49,69.89,9.7,37.51
154,6.09,153,8,1.501,-1.94,-20.56,31.01,69.74,9.54,37.54
155,6.12,154,7,0.761,-2.09,-19.8,30.5,69.66,9.41,37.46
156,6.16,155,6,1.374,-2.35,-18.42,29.74,69.63,9.37,37.55
157,6.19,156,5,1.409,-2.41,-17.01,29.48,69.57,9.26,37.69
158,6.22,157,27,1.517,-2.18,-18.23,27.96,70.5,9.95,38.2
159,6.26,158,26,1.795,-2.19,-16.43,27.14,70.58,9.88,38.27
160,6.29,159,25,0.239,-2.42,-16.25,26.97,70.36,9.82,38.34
161,6.32,160,24,1.602,-2.38,-14.64,26.4,70.45,9.9,38.26
162,6.36,161,23,1.224,-1.75,-14.35,25.18,70.77,10.32,38.31
163,6.39,162,22,0.392,-2.06,-14.03,24.79,70.78,10.53,38.32
164,6.42,163,21,1.657,-1.95,-12.37,24.19,70.29,10.7,38.1
165,6.46,164,20,0.388,-1.89,-12.12,24.58,69.99,10.87,38.24
166,6.49,165,19,1.154,-1.75,-10.97,24.21,69.57,10.96,38.15
167,6.52,166,18,0.336,-1.75,-10.77,24.31,69.24,10.87,38.24
168,6.56,167,17,1.589,-1.5,-9.18,23.5,68.59,10.87,38.09
169,6.59,168,16,0.558,-1.7,-8.96,23.25,68.03,10.97,38.18
170,6.62,169,15,1.198,-1.87,-7.76,22.97,67.64,10.97,37.98
171,6.66,170,14,0.928,-1.71,-6.83,23.74,67.44,10.97,38.05
172,6.69,171,13,0.823,-1.91,-6.8,22.92,67.23,11.04,38.2
173,6.72,172,12,0.461,-1.74,-6.72,23.38,66.82,11.02,38.09
174,6.76,173,11,1.322,-2.25,-5.4,23.0,66.74,11.1,38.0
175,6.79,174,10,0.394,-1.91,-5.18,23.24,66.35,11.08,38.18
176,6.82,175,9,0.581,-2.22,-5.4,23.82,66.23,10.88,38.06
177,6.86,176,8,0.887,-2.49,-4.51,23.45,66.12,10.95,37.99
178,6.89,177,7,0.504,-2.69,-4.4,23.18,65.61,10.93,37.89
179,6.93,178,6,0.712,-2.67,-4.32,23.89,65.7,11.0,37.63
180,6.96,179,5,0.770,-2.91,-4.1,24.48,65.13,10.96,36.86
181,6.99,180,4,1.424,-2.78,-4.0,24.08,65.14,10.9,35.43
182,7.03,181,3,1.669,-2.62,-2.76,23.14,65.1,10.81,33.77
183,7.06,182,2,1.456,-3.01,-2.3,24.04,65.08,10.95,32.31
184,7.09,183,1,1.550,-3.18,-1.82,23.03,65.01,10.8,30.76
185,7.13,184,22,2.673,-1.43,0.86,23.29,65.81,8.24,30.72
186,7.16,185,21,2.393,-1.46,1.07,23.11,65.84,8.15,28.32
187,7.19,186,20,2.471,-1.53,1.22,23.09,65.73,8.05,25.85
188,7.23,187,19,2.056,-1.41,2.32,22.57,65.7,8.05,23.8
189,7.26,188,18,1.999,-1.5,2.02,23.05,65.73,8.18,21.8
190,7.29,189,17,1.574,-1.48,1.74,22.88,65.66,8.16,20.23
191,7.33,190,16,1.222,-1.54,2.41,23.3,65.88,8.17,19.0
192,7.36,191,15,1.414,-1.51,2.85,23.58,65.73,8.1,17.59
193,7.39,192,14,1.355,-1.31,2.67,23.04,65.72,8.12,16.23
194,7.43,193,13,1.136,-1.29,2.93,22.97,65.81,8.19,15.1
195,7.46,194,12,1.242,-1.38,2.22,23.04,65.75,8.15,13.86
196,7.49,195,11,1.073,-1.35,3.29,23.08,65.72,8.06,12.97
197,7.53,196,10,0.739,-1.4,2.55,22.91,65.95,7.99,12.4
198,7.56,197,9,0.947,-1.18,3.5,22.72,65.71,8.04,11.95
199,7.59,198,8,0.388,-1.04,3.23,23.01,65.56,7.98,11.56
200,7.63,199,7,1.012,-1.28,4.01,22.0,65.71,7.91,11.26
201,7.66,200,6,0.605,-1.25,3.41,22.29,65.83,7.9,10.72
202,7.69,201,5,0.666,-1.17,3.07,21.62,66.04,7.79,10.15
203,7.73,202,4,0.519,-0.94,3.59,21.44,66.07,7.81,9.9
204,7.76,203,3,0.912,-1.09,3.68,20.53,66.24,7.52,9.42
205,7.79,204,2,0.774,-0.89,3.58,19.76,66.44,7.54,9.12
206,7.83,205,1,0.985,-0.93,3.5,18.77,66.71,7.45,8.78
207,7.90,206,27,6.958,-0.13,6.72,17.02,63.51,8.84,15.74
208,7.93,207,26,1.825,0.1,7.21,17.18,63.42,8.77,13.91
209,7.96,208,25,1.874,0.07,7.23,16.79,63.42,8.75,12.04
210,8.00,209,24,1.583,0.11,7.16,16.86,63.07,8.81,10.45
211,8.03,210,23,0.944,0.19,7.52,17.19,63.41,8.71,9.51
212,8.06,211,22,0.733,0.1,7.22,17.1,63.13,8.63,8.78
213,8.10,212,21,0.469,-0.16,6.75,16.86,63.22,8.32,8.47
214,8.13,213,20,0.952,0.13,7.03,15.9,63.32,8.07,8.05
215,8.16,214,19,0.331,0.19,6.99,16.19,63.36,7.74,7.98
216,8.20,215,18,0.437,-0.02,6.98,16.05,63.79,7.32,7.78
217,8.23,216,17,0.968,0.03,6.92,15.08,64.4,6.76,7.92
218,8.26,217,16,1.196,-0.11,5.86,13.89,64.83,6.37,7.76
219,8.30,218,15,0.706,-0.3,5.48,13.86,65.54,5.97,8.09
220,8.33,219,14,1.150,-0.17,4.33,13.28,66.3,5.65,8.26
221,8.36,220,13,1.055,-0.27,4.41,12.69,67.36,5.48,8.33
222,8.40,221,12,1.322,-0.23,3.09,12.19,68.26,5.02,8.4
223,8.43,222,11,0.875,-0.57,2.77,11.91,69.14,4.77,8.33
224,8.46,223,10,1.368,-0.39,1.66,10.54,70.0,4.2,8.28
225,8.50,224,9,0.846,-0.35,1.18,10.1,70.84,3.92,8.28
226,8.53,225,8,0.834,-0.25,0.49,9.62,71.68,3.78,8.38
227,8.56,226,29,11.990,7.61,-11.5,7.43,76.18,2.99,6.84
228,8.60,227,28,0.915,8.53,-11.24,6.68,76.41,3.01,7.11
229,8.63,228,27,0.958,9.1,-12.2,6.48,76.32,2.98,6.92
230,8.66,229,26,1.220,10.32,-12.24,5.59,76.52,3.02,6.99
231,8.70,230,25,0.691,11.01,-12.03,5.27,76.57,3.02,6.94
232,8.73,231,24,1.067,12.08,-12.55,5.24,76.7,3.0,6.8
233,8.76,232,23,0.966,12.6,-13.22,4.27,76.87,3.04,6.9
234,8.80,233,22,6.478,19.08,-15.29,3.1,76.0,3.26,6.4
235,8.83,234,21,1.223,20.3,-15.29,3.3,75.7,3.38,6.46
236,8.87,235,20,1.179,21.48,-14.87,2.62,75.81,3.33,6.63
237,8.90,236,19,1.368,22.28,-13.5,1.36,75.35,3.5,6.55
238,8.93,237,18,1.168,23.45,-12.87,0.5,75.24,3.29,6.41
239,8.97,238,17,1.079,23.62,-12.46,-0.58,75.25,3.35,6.43
240,9.00,239,16,1.940,24.62,-10.64,-2.52,75.17,3.43,6.42
241,9.03,240,15,1.142,25.13,-9.85,-3.66,75.25,3.18,6.36
242,9.07,241,14,1.021,26.15,-9.29,-4.35,75.28,3.3,6.72
243,9.10,242,13,1.469,26.91,-8.81,-5.82,75.29,3.26,6.67
244,9.13,243,12,1.849,27.75,-6.96,-7.4,74.64,3.34,6.8
