action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.80,3204,50,,-5.32,-101.41,88.36,77.64,1.04,1.59
2,0.84,3205,49,0.480,-5.43,-100.93,88.3,77.71,0.94,1.57
3,0.87,3206,48,0.152,-5.56,-100.9,88.33,77.59,0.78,1.57
4,0.90,3207,47,0.261,-5.52,-100.88,88.07,77.83,0.73,1.54
5,0.94,3208,46,0.584,-5.6,-101.46,88.41,77.58,0.58,1.5
6,0.97,3209,45,0.415,-5.6,-101.24,88.83,77.73,0.52,1.46
7,1.00,3210,44,0.149,-5.74,-101.11,88.98,77.71,0.45,1.57
8,1.04,3211,43,0.205,-5.79,-101.06,88.77,77.62,0.61,1.55
9,1.07,3212,42,0.831,-5.65,-101.64,89.6,77.71,0.65,1.6
10,1.10,3213,41,0.710,-5.78,-101.68,88.89,77.8,0.72,1.62
11,1.14,3214,40,0.296,-5.87,-101.89,89.16,77.51,0.72,1.62
12,1.17,3215,39,0.645,-5.82,-101.24,88.97,77.79,0.7,1.55
13,1.20,3216,38,0.175,-5.91,-101.14,88.89,77.62,0.77,1.58
14,1.24,3217,37,0.318,-6.02,-100.95,89.04,77.94,0.74,1.58
15,1.27,3218,36,0.487,-5.8,-101.43,88.8,77.94,0.79,1.56
16,1.30,3219,35,0.617,-5.6,-102.05,89.18,77.53,0.78,1.55
17,1.34,3220,34,0.578,-5.84,-101.47,89.03,77.94,0.71,1.63
18,1.37,3221,33,0.198,-5.8,-101.28,89.17,77.93,0.75,1.61
19,1.40,3222,32,0.654,-5.86,-101.55,89.82,77.62,0.78,1.64
20,1.44,3223,31,1.181,-5.67,-101.34,88.64,77.63,0.83,1.47
21,1.47,3224,30,0.996,-5.73,-102.34,89.44,77.66,0.72,1.6
22,1.51,3225,29,0.624,-5.86,-101.71,89.36,77.82,0.87,1.54
23,1.54,3226,28,0.338,-5.62,-101.91,89.02,77.6,0.79,1.51
24,1.57,3227,27,0.727,-5.74,-101.18,89.11,77.57,0.76,1.57
25,1.61,3228,26,0.346,-5.85,-101.19,89.46,77.55,0.72,1.57
26,1.64,3229,25,0.469,-5.65,-101.16,88.99,77.61,0.76,1.54
27,1.67,3230,24,0.261,-5.72,-101.42,89.21,77.85,0.8,1.53
28,1.71,3231,23,0.478,-5.93,-101.78,88.74,77.6,0.73,1.6
29,2.61,3232,48,2.854,-5.29,-102.39,88.69,74.75,0.51,1.92
30,2.64,3233,47,0.458,-5.42,-102.58,88.99,74.29,0.49,1.9
31,2.68,3234,46,0.544,-5.67,-102.08,88.79,73.74,0.55,1.83
32,2.71,3235,45,0.605,-5.57,-102.65,89.33,73.14,0.56,1.8
33,2.74,3236,44,0.373,-5.52,-102.33,89.49,72.77,0.47,1.8
34,2.78,3237,43,0.591,-5.58,-102.57,89.68,72.18,0.49,1.79
35,2.81,3238,42,0.464,-5.48,-102.46,89.83,71.71,0.48,1.82
36,2.84,3239,41,0.687,-5.55,-102.73,89.88,71.02,0.55,1.72
37,2.88,3240,40,0.345,-5.55,-102.52,90.2,70.68,0.49,1.71
38,2.91,3241,39,0.857,-5.51,-103.38,90.18,70.01,0.54,1.8
39,2.94,3242,38,0.838,-5.42,-102.54,89.94,69.62,0.45,1.78
40,2.98,3243,37,0.710,-5.33,-102.71,90.03,68.91,0.47,1.88
41,3.01,3244,36,0.797,-5.45,-102.73,90.32,68.12,0.37,1.89
42,3.04,3245,35,0.942,-5.27,-102.67,90.45,67.17,0.32,1.9
43,3.08,3246,34,0.955,-5.38,-102.56,90.66,66.22,0.27,1.9
44,3.11,3247,33,0.874,-5.51,-103.05,90.2,65.34,0.25,1.9
45,3.14,3248,32,0.541,-5.42,-102.66,90.04,64.8,0.27,1.91
46,3.18,3249,31,0.567,-5.6,-103.18,90.61,64.36,0.3,1.82
47,3.21,3250,30,0.688,-5.52,-102.81,89.92,63.91,0.33,1.94
48,3.24,3251,29,0.371,-5.89,-102.66,89.9,63.61,0.31,1.83
49,3.28,3252,28,0.631,-5.77,-103.12,90.53,63.2,0.36,1.96
50,3.31,3253,27,1.000,-5.65,-102.94,89.53,63.12,0.38,1.9
51,3.35,3254,26,0.428,-5.4,-103.1,89.96,62.92,0.28,1.85
52,3.38,3255,25,0.643,-5.67,-102.45,89.6,62.88,0.28,1.91
53,3.41,3256,25,1.004,-5.57,-102.45,89.3,61.87,0.46,1.89
54,3.45,3257,24,0.296,-5.53,-102.43,89.0,61.93,0.42,1.84
