action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.87,678,50,,-4.79,-100.27,87.31,76.7,-3.24,1.56
2,0.90,679,49,0.618,-4.67,-100.71,86.69,76.77,-3.51,1.37
3,0.94,680,48,0.456,-4.56,-100.41,87.14,76.87,-3.4,1.23
4,0.97,681,47,0.337,-4.68,-100.35,87.12,76.99,-3.33,1.56
5,1.00,682,46,0.889,-4.46,-100.58,88.01,77.16,-3.46,1.5
6,1.04,683,45,0.716,-5.0,-100.03,87.29,77.13,-3.39,1.42
7,1.07,684,44,0.987,-4.84,-101.01,87.48,77.02,-3.26,1.47
8,1.10,685,43,0.204,-4.69,-100.81,87.34,77.05,-3.23,1.31
9,1.14,686,42,0.868,-5.0,-101.68,87.26,76.68,-3.35,1.5
10,1.17,687,41,0.854,-5.13,-100.82,87.65,76.81,-3.45,1.39
11,1.20,688,40,0.463,-4.94,-101.29,87.43,76.87,-3.29,1.38
12,1.24,689,39,0.506,-5.04,-101.79,87.12,76.9,-3.33,1.31
13,1.27,690,38,0.221,-4.88,-101.85,87.34,76.87,-3.29,1.33
14,1.30,691,37,0.531,-4.94,-101.32,87.77,77.05,-3.24,1.38
15,1.34,692,36,0.669,-5.2,-101.8,87.1,76.92,-3.31,1.36
16,1.37,693,35,0.592,-5.06,-101.2,87.08,77.01,-3.48,1.43
17,1.40,694,34,0.266,-4.84,-101.33,86.87,76.91,-3.22,1.37
18,2.14,695,48,1.253,-5.6,-100.1,86.91,75.66,-2.24,1.28
19,2.17,696,47,0.460,-5.95,-100.56,87.14,75.47,-2.28,1.28
20,2.21,697,46,1.208,-7.15,-99.97,87.65,75.75,-2.24,1.22
21,2.24,698,45,0.792,-7.24,-100.76,87.64,75.85,-2.16,1.4
22,2.27,699,44,0.811,-7.9,-100.49,86.83,75.77,-2.16,1.09
23,2.31,700,43,0.929,-8.82,-101.03,86.69,75.6,-2.09,1.13
24,2.34,701,42,0.534,-9.36,-100.71,86.62,75.6,-2.22,1.08
25,2.37,702,41,0.480,-9.84,-100.75,86.87,75.76,-2.32,1.05
26,2.41,703,40,1.091,-10.84,-100.86,85.78,75.57,-2.23,1.01
27,2.44,704,39,0.803,-11.62,-101.66,86.25,75.78,-2.26,1.17
28,2.47,705,38,0.569,-12.19,-101.27,85.72,75.66,-2.27,1.22
29,2.51,706,37,0.999,-13.19,-101.2,85.25,75.95,-2.28,1.03
30,2.54,707,36,0.737,-13.93,-101.28,85.49,75.86,-2.41,1.27
31,2.57,708,35,1.075,-15.0,-100.53,85.5,76.01,-2.39,1.32
32,2.61,709,34,0.931,-15.61,-101.46,84.89,76.06,-2.29,1.15
33,2.64,710,33,0.906,-16.0,-100.56,85.12,75.98,-2.27,1.09
34,2.67,711,32,0.505,-16.5,-101.02,85.08,76.46,-2.34,1.03
35,2.71,712,32,3.317,-13.18,-101.35,85.91,76.1,-2.76,0.98
