action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.87,483,50,,-3.21,-100.57,88.47,77.14,-2.72,0.98
2,0.90,484,49,0.971,-3.21,-101.54,87.56,76.9,-2.67,0.75
3,0.94,485,48,0.301,-3.27,-101.54,87.57,76.6,-2.69,0.68
4,0.97,486,47,0.241,-3.32,-101.61,87.69,76.76,-2.47,0.92
5,1.00,487,46,0.964,-3.39,-100.65,88.41,76.93,-2.7,0.96
6,1.04,488,45,0.583,-3.49,-101.23,88.84,77.06,-2.54,0.93
7,1.07,489,44,0.662,-3.55,-100.57,89.15,76.91,-2.47,0.85
8,1.10,490,43,1.231,-3.54,-101.8,89.06,77.02,-2.64,1.09
9,1.14,491,42,0.752,-3.67,-101.05,88.82,77.17,-2.62,0.95
10,1.17,492,41,0.651,-3.8,-101.7,89.12,77.67,-2.63,0.97
11,1.20,493,40,0.470,-3.98,-101.42,89.12,77.2,-2.58,0.97
12,1.24,494,39,0.523,-3.61,-101.73,88.6,77.28,-2.5,1.0
13,1.27,495,38,0.385,-4.0,-101.84,88.62,77.58,-2.52,1.08
14,1.30,496,37,0.913,-3.6,-101.09,89.53,77.67,-2.42,1.02
15,1.34,497,36,0.628,-3.63,-101.72,89.48,77.85,-2.41,1.0
16,1.37,498,35,0.873,-3.86,-101.13,88.61,78.12,-2.41,0.86
17,1.40,499,34,0.524,-3.79,-101.48,89.13,77.97,-2.4,0.98
18,1.44,500,33,0.512,-3.8,-101.25,88.62,78.06,-2.46,1.02
19,1.47,501,32,0.518,-3.62,-101.73,89.14,77.96,-2.44,1.1
20,1.51,502,31,0.426,-3.71,-101.42,88.72,78.39,-2.48,1.02
21,1.54,503,30,0.635,-3.63,-101.62,89.36,78.21,-2.55,0.93
22,2.27,504,49,4.043,-7.67,-100.5,88.56,76.37,-2.16,1.07
23,2.31,505,48,1.143,-8.81,-101.08,87.99,76.21,-2.09,0.95
24,2.34,506,47,0.467,-9.25,-101.07,88.46,76.31,-2.2,0.96
25,2.37,507,46,0.479,-9.73,-100.84,88.79,76.22,-2.16,1.13
26,2.41,508,45,0.607,-10.14,-101.1,88.18,76.36,-2.08,1.05
27,2.44,509,44,0.493,-10.5,-100.87,88.67,76.38,-2.05,1.17
28,2.47,510,43,0.234,-10.72,-100.9,88.61,76.62,-1.98,1.02
29,2.51,511,42,0.729,-11.45,-100.46,88.1,76.5,-2.16,0.8
30,2.54,512,41,0.278,-11.59,-100.7,87.82,76.39,-2.02,0.9
31,2.58,513,40,0.741,-12.19,-101.37,88.56,76.56,-2.02,0.95
32,2.61,514,39,0.735,-12.09,-101.24,87.83,76.52,-2.12,0.81
33,2.64,515,38,0.383,-12.36,-100.93,87.97,76.14,-2.15,0.94
34,2.68,516,37,0.356,-12.47,-100.65,87.76,76.5,-2.04,0.87
35,2.71,517,36,0.650,-12.29,-101.28,87.11,76.37,-2.08,0.85
36,2.74,518,35,0.353,-12.37,-101.13,87.47,76.46,-2.02,0.83
37,2.78,519,34,0.379,-12.36,-100.75,87.59,76.47,-2.14,0.86
38,2.81,520,33,0.478,-11.88,-100.5,87.74,76.69,-2.06,0.81
39,2.84,521,32,0.567,-11.99,-101.07,87.45,76.64,-2.03,0.85
40,2.88,522,31,0.267,-12.05,-101.33,87.35,76.76,-2.12,0.64
41,2.91,523,30,0.265,-11.8,-101.3,87.62,76.54,-2.11,0.7
42,2.94,524,29,0.585,-11.54,-100.72,87.25,76.87,-2.01,0.84
43,2.98,525,28,0.320,-11.58,-100.93,87.57,76.76,-2.06,0.75
44,3.01,526,27,2.348,-13.93,-101.4,87.14,76.65,-2.0,0.73
45,3.04,527,26,0.607,-14.53,-101.44,87.06,76.58,-1.91,0.72
46,3.08,528,25,0.705,-15.24,-100.86,87.55,76.6,-1.94,0.69
47,3.11,529,24,0.513,-15.75,-100.81,87.4,76.49,-1.97,0.89
48,3.14,530,23,0.605,-16.36,-100.98,87.19,76.66,-2.0,0.76
49,3.18,531,22,0.903,-17.26,-100.51,86.85,76.62,-1.85,0.67
50,3.21,532,21,0.459,-17.67,-100.97,86.82,76.52,-1.89,0.88
51,3.24,533,20,0.541,-18.21,-101.38,86.66,76.35,-1.82,0.91
52,3.28,534,19,0.979,-19.19,-101.41,86.96,76.27,-1.97,0.86
53,3.31,535,18,0.900,-20.09,-101.25,86.94,76.36,-1.93,0.87
54,3.34,536,17,0.721,-20.81,-100.94,86.89,76.49,-1.81,0.92
55,3.38,537,16,0.816,-21.63,-101.39,86.64,76.52,-1.78,0.7
56,3.41,538,15,0.978,-22.6,-100.98,86.61,76.36,-1.91,0.9
57,3.44,539,14,0.453,-23.06,-101.37,86.7,76.29,-1.96,0.87
58,3.48,540,13,1.050,-24.11,-101.27,86.5,76.41,-1.89,0.95
59,3.51,541,12,0.800,-24.88,-100.71,85.7,76.28,-1.93,0.92
60,3.54,542,11,0.936,-25.82,-101.25,86.58,76.32,-1.97,0.88
61,3.58,543,10,0.779,-26.6,-101.19,86.39,76.4,-1.92,0.88
