action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.87,2908,50,,-49.49,-8.84,4.39,80.65,5.69,31.61
2,0.90,2909,49,0.571,-48.92,-9.36,4.64,81.06,5.74,31.29
3,0.94,2910,48,1.023,-48.23,-10.38,4.91,81.24,5.93,30.96
4,0.97,2911,47,0.654,-47.9,-11.02,5.56,81.32,6.0,30.99
5,1.00,2912,46,0.634,-47.36,-11.02,6.2,81.23,6.04,30.86
6,1.04,2913,45,0.619,-46.88,-11.64,6.55,81.23,6.08,30.84
7,1.07,2914,44,0.672,-46.21,-11.8,7.03,81.12,6.15,30.78
8,1.10,2915,43,0.781,-45.58,-11.9,7.82,80.97,6.37,30.65
9,1.14,2916,42,1.007,-45.0,-12.57,8.82,80.95,6.61,30.64
10,1.17,2917,41,0.827,-44.37,-12.5,9.65,80.89,6.81,30.47
11,1.20,2918,40,0.889,-43.73,-12.7,10.54,80.84,6.93,30.64
12,1.24,2919,39,0.833,-42.89,-12.66,11.26,80.78,7.19,30.59
13,1.27,2920,38,0.979,-41.91,-12.45,11.48,80.85,7.63,30.54
14,1.30,2921,37,1.017,-40.9,-12.62,12.12,80.86,8.12,30.57
15,1.34,2922,36,1.181,-39.72,-12.46,12.89,80.65,8.87,30.34
16,1.37,2923,35,0.993,-38.72,-12.4,13.32,80.39,9.37,30.35
17,1.40,2924,34,1.035,-37.69,-11.83,14.08,80.03,9.8,30.41
18,2.14,2925,49,3.623,-39.56,-15.45,14.48,79.16,8.01,29.86
19,2.17,2926,48,0.705,-39.52,-14.74,14.23,79.15,8.15,29.92
20,2.21,2927,47,0.721,-39.58,-14.02,13.96,79.1,8.4,30.26
21,2.24,2928,46,0.459,-39.76,-13.9,13.85,79.14,8.56,30.72
22,2.27,2929,45,0.713,-39.96,-13.18,13.7,79.05,8.88,31.07
23,2.31,2930,44,0.511,-40.18,-12.67,13.46,78.82,9.09,31.57
24,2.34,2931,43,1.274,-40.08,-11.4,13.42,78.62,9.65,32.34
25,2.37,2932,42,0.871,-40.38,-11.03,13.76,78.38,10.06,33.21
26,2.41,2933,41,1.109,-40.47,-9.93,12.91,78.0,10.53,34.32
27,2.44,2934,40,0.786,-40.74,-9.46,13.0,77.89,10.83,35.11
28,2.48,2935,39,1.110,-40.7,-8.35,12.88,77.54,11.01,35.64
29,2.51,2936,38,0.571,-40.86,-8.21,12.31,77.04,11.07,36.11
30,2.54,2937,37,0.886,-40.9,-7.33,11.98,76.54,11.18,36.29
31,2.58,2938,36,0.964,-41.08,-6.36,12.21,75.74,11.25,36.52
32,2.61,2939,35,0.452,-41.25,-5.97,12.14,75.29,11.37,36.47
33,2.64,2940,34,1.228,-41.43,-4.74,12.14,74.31,11.72,36.11
34,2.68,2941,33,0.954,-41.67,-3.79,11.77,73.6,11.85,36.28
35,2.71,2942,32,0.615,-41.51,-3.24,11.72,72.99,12.05,36.14
36,2.74,2943,31,1.155,-41.7,-3.09,11.68,71.83,12.24,36.24
37,2.78,2944,30,0.937,-41.84,-2.15,11.47,71.03,12.14,36.2
38,2.81,2945,29,1.225,-41.85,-0.93,11.25,70.22,12.18,36.42
39,2.84,2946,28,0.566,-42.03,-0.74,11.48,69.66,12.16,36.36
40,2.88,2947,27,1.396,-41.95,0.66,11.68,68.92,12.11,36.49
41,2.91,2948,26,2.409,-41.54,2.58,9.27,66.59,11.45,35.92
42,2.94,2949,25,0.464,-41.67,2.86,9.13,66.13,11.38,35.95
43,2.98,2950,24,1.244,-41.8,4.11,8.65,65.92,11.37,35.96
44,3.01,2951,23,0.472,-41.78,4.58,8.38,65.73,11.47,35.94
45,3.04,2952,22,1.029,-41.71,5.61,7.89,65.44,11.39,35.82
46,3.08,2953,21,1.148,-41.67,6.75,7.61,65.27,11.37,35.79
47,3.11,2954,20,1.030,-41.74,7.79,7.28,65.1,11.39,35.81
48,3.14,2955,19,0.601,-41.79,8.39,6.78,64.88,11.44,35.75
49,3.18,2956,18,1.371,-41.73,9.76,6.44,64.73,11.47,35.78
50,3.21,2957,17,0.551,-41.77,10.31,6.24,64.41,11.54,35.81
51,3.24,2958,16,1.110,-41.77,11.42,5.84,64.33,11.51,35.75
52,3.28,2959,15,0.721,-41.7,12.14,5.13,64.17,11.46,35.64
53,3.31,2960,14,0.792,-41.72,12.93,4.87,64.12,11.46,35.73
54,3.34,2961,13,0.379,-41.89,13.31,4.65,63.76,11.52,35.71
55,3.38,2962,12,1.391,-41.78,14.7,4.7,63.43,11.45,35.58
56,3.41,2963,11,0.570,-41.68,15.21,4.13,63.48,11.4,35.68
57,3.45,2964,10,0.833,-41.68,16.04,4.28,63.36,11.33,35.55
58,3.48,2965,9,0.582,-41.53,16.63,3.78,63.37,11.3,35.16
59,3.51,2966,8,0.723,-41.62,17.35,3.57,63.18,11.3,34.67
60,3.55,2967,7,0.969,-41.63,17.76,3.82,63.19,11.27,33.7
61,3.58,2968,6,1.502,-41.77,18.62,3.83,63.29,11.23,32.2
62,3.61,2969,5,2.536,-41.54,18.78,3.21,63.29,11.17,29.66
63,3.65,2970,4,2.525,-41.61,19.42,3.18,63.4,11.13,27.14
64,3.68,2971,3,3.054,-41.51,19.69,3.3,63.63,11.1,24.09
65,3.71,2972,25,5.400,-41.03,23.03,-2.1,64.36,10.54,25.72
66,3.75,2973,24,3.320,-40.72,22.92,-2.23,64.74,10.33,22.4
67,3.78,2974,23,3.170,-39.97,24.47,-5.4,65.13,9.92,21.32
68,3.81,2975,22,2.298,-39.72,24.35,-5.66,65.2,9.64,19.02
69,3.85,2976,21,1.966,-39.43,24.19,-5.33,65.33,9.51,17.06
70,3.88,2977,20,1.542,-39.33,24.49,-5.23,65.41,9.23,15.52
71,3.91,2978,19,1.228,-39.29,24.41,-5.63,65.42,9.1,14.29
72,3.95,2979,18,1.149,-38.99,24.4,-5.56,65.51,8.74,13.14
73,3.98,2980,17,0.817,-39.17,24.35,-5.29,65.29,8.57,12.32
74,4.01,2981,16,0.778,-38.93,24.5,-5.94,65.45,8.36,11.54
75,4.05,2982,15,0.464,-39.13,24.48,-5.98,65.63,8.06,11.08
76,4.08,2983,14,0.520,-38.9,24.26,-6.5,65.98,7.72,10.76
77,4.11,2984,13,0.498,-38.66,24.07,-6.52,66.48,7.39,10.67
78,4.15,2985,12,0.968,-38.86,23.91,-7.48,67.15,6.92,10.87
79,4.18,2986,11,0.715,-38.69,23.23,-7.91,67.86,6.48,11.16
80,4.21,2987,10,1.109,-38.35,23.01,-9.01,68.84,5.93,11.35
81,4.25,2988,9,1.077,-37.99,21.93,-9.32,69.74,5.49,11.54
82,4.28,2989,8,1.083,-37.84,21.59,-9.93,70.82,5.04,11.54
83,4.31,2990,7,1.034,-37.3,20.58,-10.88,71.85,4.94,11.47
84,4.35,2991,6,1.140,-36.74,19.44,-11.11,72.79,4.8,11.37
85,4.38,2992,5,1.204,-36.09,18.24,-11.21,73.85,4.85,11.35
86,4.41,2993,4,1.084,-35.75,17.79,-12.1,74.93,4.69,11.18
87,4.45,2994,3,1.727,-34.88,16.07,-12.13,75.91,4.48,11.01
88,4.48,2995,2,1.363,-34.2,14.7,-12.63,76.91,4.28,11.05
89,4.51,2996,1,1.348,-33.56,13.35,-12.54,77.73,4.12,10.97
90,4.55,2997,23,9.431,-42.54,17.82,-4.23,68.29,5.7,8.29
91,4.58,2998,22,1.788,-42.33,16.03,-4.66,69.17,5.34,8.15
92,4.62,2999,21,1.291,-42.04,14.74,-5.64,70.07,4.82,8.23
93,4.65,3000,20,1.848,-41.47,12.89,-5.18,70.79,4.69,8.49
94,4.68,3001,19,0.965,-41.02,11.93,-5.68,71.35,4.47,8.55
95,4.72,3002,18,1.532,-40.65,10.39,-5.55,72.07,4.53,8.77
96,4.75,3003,17,0.825,-40.11,9.57,-6.17,72.47,4.13,8.86
97,4.78,3004,16,1.872,-39.87,7.7,-5.6,73.28,4.05,8.87
98,4.82,3005,15,1.117,-39.46,6.9,-6.72,73.85,3.76,8.85
99,4.85,3006,14,0.923,-39.46,5.98,-6.88,74.47,3.38,8.92
100,4.88,3007,13,2.253,-38.68,3.72,-7.02,75.3,2.68,8.74
101,4.92,3008,12,0.719,-38.44,3.06,-7.04,76.02,2.47,8.83
102,4.95,3009,11,1.379,-37.82,1.68,-8.07,76.95,1.79,8.91
103,4.98,3010,10,1.175,-36.65,0.67,-8.84,77.43,1.44,8.96
104,5.02,3011,9,1.456,-35.19,-0.42,-8.52,78.29,1.08,8.71
105,5.05,3012,8,1.539,-34.45,-1.96,-9.36,79.33,0.84,8.88
106,5.08,3013,7,1.707,-32.96,-2.19,-11.07,79.97,0.53,8.92
107,5.12,3014,6,1.345,-31.61,-3.38,-10.48,80.37,0.45,8.78
108,5.15,3015,5,1.157,-30.46,-4.2,-11.2,80.95,0.22,8.93
109,5.18,3016,4,1.584,-28.87,-4.39,-12.07,81.59,0.2,9.0
110,5.22,3017,3,1.385,-27.71,-5.54,-13.45,81.99,0.08,8.69
111,5.25,3018,2,1.510,-26.2,-7.05,-13.8,82.97,-0.0,8.8
112,5.28,3019,1,0.880,-25.32,-7.8,-13.63,83.57,-0.09,8.94
113,5.42,3020,26,4.950,-28.3,-11.7,-8.68,82.64,-2.81,8.87
114,5.45,3021,25,1.268,-27.37,-12.97,-8.03,82.91,-2.91,9.11
115,5.49,3022,24,1.246,-26.12,-14.16,-7.65,83.07,-3.15,8.97
116,5.52,3023,23,1.276,-24.84,-14.41,-7.84,83.3,-3.36,9.13
117,5.55,3024,22,1.185,-23.68,-15.6,-8.28,83.24,-3.68,9.26
118,5.59,3025,21,1.431,-22.25,-16.42,-8.66,83.72,-3.75,9.25
119,5.62,3026,20,0.905,-21.34,-17.17,-9.36,83.88,-3.84,9.15
120,5.65,3027,19,1.696,-19.65,-17.82,-9.95,84.07,-3.83,9.19
121,5.69,3028,18,1.770,-17.87,-18.06,-10.63,84.49,-3.87,9.33
122,5.72,3029,17,1.294,-16.58,-18.72,-11.23,84.97,-4.01,9.31
123,5.75,3030,16,1.909,-14.67,-18.03,-12.97,85.51,-4.19,9.21
124,5.79,3031,15,1.495,-13.18,-18.1,-14.24,86.1,-4.41,9.34
125,5.82,3032,14,1.698,-11.48,-18.28,-14.95,86.52,-4.53,9.37
126,5.85,3033,13,1.649,-9.83,-17.73,-15.57,87.07,-4.54,9.08
127,5.89,3034,12,1.445,-8.38,-17.53,-16.99,87.33,-4.56,9.2
128,5.92,3035,11,1.841,-6.54,-16.86,-17.73,87.84,-4.66,9.33
129,5.95,3036,10,1.517,-5.03,-16.83,-18.47,87.92,-4.65,9.33
130,5.99,3037,9,1.754,-3.27,-16.53,-18.89,88.07,-4.82,9.42
131,6.02,3038,8,1.481,-1.79,-16.59,-19.67,88.22,-4.92,9.34
132,6.05,3039,7,1.468,-0.32,-16.04,-19.76,88.09,-5.17,9.48
133,6.09,3040,6,1.383,1.06,-15.82,-19.98,88.11,-5.2,9.43
134,6.12,3041,5,1.316,2.38,-15.93,-20.35,88.11,-5.36,9.44
135,6.15,3042,4,1.851,4.23,-15.85,-21.25,87.98,-5.65,9.55
136,6.19,3043,26,25.555,-21.33,-5.59,-6.04,82.17,6.31,25.95
137,6.22,3044,25,1.439,-20.88,-4.15,-6.47,81.98,6.33,26.09
