action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.90,0,50,,-4.26,-102.48,89.74,76.51,-1.14,0.92
2,0.94,1,49,1.082,-4.65,-102.59,88.65,76.92,-1.25,0.95
3,0.97,2,48,0.737,-4.61,-102.26,89.39,76.87,-1.33,0.88
4,1.00,3,47,0.734,-4.35,-102.85,88.66,77.11,-1.18,0.87
5,1.04,4,46,1.165,-4.45,-101.69,89.0,77.21,-1.19,0.92
6,1.07,5,45,0.676,-4.77,-102.24,89.68,77.03,-1.14,1.07
7,1.10,6,44,0.599,-4.82,-101.88,89.08,77.0,-1.21,0.93
8,1.14,7,43,0.624,-4.73,-102.48,89.7,77.01,-1.24,0.99
9,1.17,8,42,0.381,-4.56,-102.59,89.32,77.12,-1.24,0.85
10,1.20,9,41,0.301,-4.62,-102.28,89.46,77.05,-1.16,0.89
11,1.24,10,40,0.499,-4.72,-102.78,89.49,76.99,-1.18,0.95
12,1.27,11,39,0.343,-4.45,-102.61,89.83,77.2,-1.2,0.88
13,1.30,12,38,0.541,-4.79,-102.07,89.33,77.16,-1.26,0.8
14,1.34,13,37,0.790,-4.63,-102.86,88.85,77.32,-1.34,0.81
15,1.37,14,36,0.630,-4.83,-102.78,89.48,77.26,-1.32,0.79
16,1.40,15,35,0.788,-4.81,-102.38,88.69,77.41,-1.22,0.94
17,1.44,16,34,0.391,-4.69,-102.3,89.08,77.39,-1.19,1.03
18,1.47,17,33,0.604,-4.97,-102.44,88.48,77.45,-1.31,0.91
19,1.50,18,32,0.267,-5.1,-102.68,88.75,77.46,-1.22,0.9
20,1.54,19,31,0.572,-5.08,-103.25,88.86,77.52,-1.19,1.01
21,1.57,20,30,0.925,-5.02,-102.33,88.57,77.53,-1.28,0.87
22,1.61,21,29,0.509,-4.95,-102.84,88.66,77.41,-1.21,0.86
23,1.64,22,28,0.589,-4.89,-102.25,88.97,77.46,-1.21,0.87
24,1.67,23,27,0.173,-5.0,-102.42,88.98,77.51,-1.2,0.81
25,1.71,24,26,0.414,-4.89,-102.45,89.39,77.42,-1.23,0.9
26,1.74,25,25,0.773,-4.9,-102.21,88.62,77.54,-1.27,0.97
27,1.77,26,24,0.955,-4.77,-102.49,89.57,77.25,-1.2,1.08
28,1.81,27,23,0.563,-5.02,-102.28,89.01,77.36,-1.21,0.92
29,1.84,28,22,0.537,-5.04,-102.75,89.55,77.58,-1.2,0.66
30,1.87,29,21,0.333,-5.19,-102.47,89.22,77.36,-1.26,0.85
31,1.91,30,20,0.530,-4.66,-102.16,88.88,77.4,-1.16,1.04
32,1.94,31,19,0.639,-4.75,-102.55,89.52,77.26,-1.38,0.98
33,1.97,32,18,0.338,-4.81,-102.41,89.85,77.27,-1.23,1.01
34,2.01,33,17,0.347,-4.96,-102.76,89.54,77.31,-1.25,0.93
35,2.04,34,16,0.739,-4.78,-102.02,89.16,77.22,-1.2,0.93
36,2.07,35,15,0.258,-4.95,-102.25,89.42,77.22,-1.21,0.8
37,2.11,36,14,0.313,-4.84,-102.56,89.42,77.53,-1.34,0.85
38,2.14,37,13,0.356,-4.68,-102.22,89.06,77.43,-1.36,0.98
39,2.17,38,12,0.799,-4.65,-103.02,88.73,77.32,-1.38,0.97
40,2.21,39,11,0.914,-4.83,-102.11,88.58,77.43,-1.27,0.9
41,2.24,40,26,0.665,-4.19,-102.23,89.24,77.66,-1.0,0.8
42,2.27,41,25,0.185,-4.24,-102.22,89.06,77.56,-0.97,0.89
43,2.31,42,24,0.171,-4.25,-102.07,89.23,77.61,-1.0,0.82
44,2.34,43,23,0.490,-4.25,-102.56,89.35,77.74,-1.01,0.92
45,2.37,44,22,0.483,-4.19,-102.08,88.97,77.61,-1.02,0.83
46,2.41,45,21,0.395,-4.22,-102.48,89.36,77.55,-1.08,0.83
47,2.44,46,20,0.186,-4.15,-102.65,89.17,77.59,-1.04,0.82
48,2.47,47,19,0.182,-4.26,-102.59,89.36,77.73,-1.01,0.92
49,2.51,48,18,0.343,-4.2,-102.57,89.01,77.55,-1.0,0.83
50,2.54,49,17,0.628,-4.24,-102.35,89.64,77.67,-1.03,0.86
51,2.58,50,16,0.579,-3.66,-102.2,89.62,77.58,-0.86,0.8
52,2.61,51,15,0.473,-3.88,-102.67,89.75,77.58,-0.83,0.77
53,2.64,52,14,0.424,-3.88,-102.81,90.18,77.77,-0.83,0.85
54,2.68,53,13,0.499,-3.91,-102.46,89.68,77.84,-0.82,0.75
55,2.71,54,12,0.296,-3.94,-102.17,89.9,77.6,-0.89,0.76
56,2.74,55,11,0.204,-4.12,-102.37,89.71,77.71,-0.9,0.8
57,2.78,56,10,0.278,-4.02,-102.09,89.44,77.73,-0.87,0.69
58,2.81,57,9,0.780,-3.91,-102.87,89.97,77.69,-0.92,0.84
59,2.84,58,8,0.467,-3.92,-102.41,89.81,77.74,-0.86,0.86
60,2.88,59,7,0.461,-3.96,-102.62,89.35,77.77,-0.92,0.82
61,2.91,60,6,0.431,-4.04,-102.42,89.78,77.73,-0.98,0.8
62,2.94,61,5,0.362,-4.07,-102.55,90.14,77.77,-0.97,0.9
63,2.98,62,4,0.525,-4.02,-102.28,89.61,77.92,-0.95,0.9
64,3.01,63,3,0.430,-3.97,-102.71,89.29,77.78,-0.98,0.77
65,3.04,64,2,0.491,-3.88,-102.78,89.78,77.81,-0.95,0.9
66,3.08,65,1,0.401,-4.1,-102.9,89.38,77.72,-1.05,0.79
67,3.98,66,49,0.523,-4.48,-102.57,89.85,77.2,-1.21,1.0
68,4.01,67,48,0.427,-4.41,-102.68,89.42,77.04,-1.25,0.97
69,4.05,68,47,0.198,-4.44,-102.83,89.3,77.24,-1.32,1.0
70,4.08,69,46,0.703,-4.69,-102.31,90.0,77.4,-1.18,0.91
71,4.11,70,45,0.299,-4.4,-102.6,90.0,77.27,-1.19,1.01
72,4.15,71,44,0.590,-4.71,-102.56,89.41,77.43,-1.18,0.99
73,4.18,72,43,0.875,-4.49,-102.57,90.29,77.58,-1.15,0.94
74,4.22,73,42,0.462,-4.72,-102.38,89.82,77.67,-1.21,0.91
75,4.25,74,41,0.396,-4.32,-102.41,89.81,77.54,-1.2,1.11
76,4.28,75,40,0.135,-4.45,-102.28,89.79,77.64,-1.14,1.08
77,4.32,76,39,0.241,-4.5,-102.44,90.03,77.56,-1.14,1.03
78,4.35,77,38,0.525,-4.2,-102.41,89.51,77.46,-1.22,1.0
79,4.38,78,37,0.755,-4.25,-102.38,90.26,77.63,-1.16,0.87
80,4.42,79,36,0.547,-4.33,-102.47,89.71,77.58,-1.17,1.05
81,4.45,80,35,0.126,-4.44,-102.34,89.59,77.46,-1.13,1.0
82,4.48,81,34,0.544,-3.9,-102.03,89.52,77.75,-1.17,1.0
83,4.52,82,33,0.413,-4.23,-102.44,89.8,77.64,-1.16,1.03
84,4.55,83,32,0.736,-4.0,-101.71,89.76,77.32,-1.21,0.92
85,4.58,84,31,0.584,-4.06,-102.29,89.56,77.62,-1.21,0.93
86,4.62,85,30,0.251,-4.19,-102.04,89.71,77.61,-1.19,0.83
87,4.65,86,29,0.729,-4.07,-102.77,89.7,77.51,-1.19,0.9
88,4.68,87,28,0.152,-4.1,-102.92,89.82,77.5,-1.17,1.02
89,4.72,88,27,0.436,-3.99,-102.62,89.38,77.47,-1.22,0.93
90,4.75,89,26,0.204,-4.08,-102.42,89.58,77.45,-1.22,0.96
91,4.78,90,25,0.367,-4.23,-102.79,89.45,77.51,-1.19,0.88
92,4.82,91,24,0.261,-3.97,-102.66,89.2,77.48,-1.31,0.89
93,4.85,92,23,0.396,-4.15,-102.51,89.6,77.42,-1.27,0.96
94,4.88,93,22,0.610,-4.27,-102.62,88.99,77.39,-1.16,0.95
95,4.92,94,21,0.778,-4.04,-102.98,89.77,77.41,-1.27,0.93
96,4.95,95,20,0.458,-4.09,-102.52,89.6,77.43,-1.23,0.94
97,4.98,96,19,0.358,-4.33,-102.77,89.25,77.42,-1.25,0.92
98,5.02,97,18,0.319,-4.23,-102.96,88.93,77.55,-1.17,0.93
99,5.05,98,17,0.752,-4.1,-102.59,89.68,77.56,-1.07,0.99
100,5.08,99,16,0.242,-4.27,-102.36,89.44,77.34,-1.23,0.97
101,5.12,100,15,0.333,-3.94,-102.61,89.51,77.49,-1.22,0.8
102,5.15,101,14,0.122,-4.03,-102.57,89.6,77.52,-1.28,0.92
103,5.19,102,13,0.397,-4.19,-102.96,89.44,77.57,-1.22,0.99
104,5.22,103,12,0.458,-4.14,-102.51,89.12,77.48,-1.22,0.9
105,5.25,104,11,0.118,-4.25,-102.63,89.17,77.49,-1.26,0.9
106,5.29,105,10,0.224,-4.21,-102.85,89.06,77.61,-1.28,0.8
107,5.32,106,9,0.516,-4.3,-102.33,89.37,77.61,-1.25,0.85
108,5.35,107,8,0.992,-4.22,-103.33,89.4,77.36,-1.23,0.96
109,5.39,108,7,1.183,-4.26,-102.14,88.81,77.66,-1.17,0.89
110,5.42,109,6,0.517,-4.27,-102.6,89.32,77.55,-1.21,0.96
111,5.45,110,5,0.155,-4.17,-102.66,89.17,77.5,-1.29,0.88
112,5.49,111,4,0.248,-4.12,-102.41,88.97,77.44,-1.26,0.89
113,5.52,112,3,0.405,-4.43,-102.1,89.37,77.67,-1.27,0.88
114,5.55,113,2,1.019,-4.29,-103.11,89.05,77.52,-1.3,0.98
115,5.59,114,1,0.482,-4.12,-102.63,88.97,77.54,-1.3,1.02
116,6.46,115,49,0.283,-4.4,-102.87,89.16,77.42,-1.17,1.03
117,6.49,116,48,0.866,-4.48,-102.0,88.83,77.48,-1.18,0.81
118,6.52,117,47,0.663,-4.63,-102.66,88.91,77.59,-1.37,0.95
119,6.56,118,46,0.799,-4.45,-101.87,89.0,77.62,-1.35,0.92
120,6.59,119,45,0.214,-4.45,-102.08,89.18,77.62,-1.27,0.97
121,6.62,120,44,0.370,-4.28,-102.07,89.55,77.76,-1.22,1.09
122,6.66,121,43,0.864,-4.65,-101.5,88.68,77.72,-1.24,0.88
123,6.69,122,42,0.610,-4.41,-101.76,89.29,77.57,-1.28,0.94
124,6.72,123,41,0.178,-4.59,-101.87,89.37,77.65,-1.22,0.87
125,6.76,124,40,0.492,-4.43,-102.16,88.88,77.65,-1.19,0.99
126,6.79,125,39,0.588,-4.6,-101.58,89.32,77.68,-1.26,0.91
127,6.82,126,38,0.738,-4.33,-102.31,89.28,77.44,-1.25,1.04
128,6.86,127,37,0.424,-4.57,-101.96,88.85,77.53,-1.17,0.97
129,6.89,128,36,0.231,-4.73,-101.77,89.08,77.64,-1.14,0.9
130,6.92,129,35,0.820,-4.56,-102.37,89.9,77.45,-1.16,0.81
131,6.96,130,34,0.789,-4.63,-102.12,89.11,77.61,-1.28,0.93
132,6.99,131,33,0.352,-4.52,-101.78,89.46,77.45,-1.16,0.95
133,7.02,132,32,0.538,-4.52,-102.32,89.39,77.58,-1.25,1.04
134,7.06,133,31,0.247,-4.27,-102.42,89.46,77.65,-1.27,0.97
135,7.09,134,30,0.468,-4.56,-102.89,89.39,77.62,-1.34,1.02
136,7.13,135,29,0.717,-4.68,-102.32,88.67,77.6,-1.22,0.97
137,7.16,136,28,0.411,-4.46,-102.47,89.08,77.71,-1.29,0.97
138,7.19,137,27,0.369,-4.68,-102.1,88.85,77.57,-1.2,0.99
